2016-06-15	Why do Varroa mites prefer nurse bees?	mites show preference mite host bees nurses feed behind 
2016-06-01	B+WSN: Smart beehive with preliminary decision tree analysis for agriculture and honey bee health monitoring	algorithm data parameters sensor classification short tree term biological 
2016-06-01	Sucrose sensitivity of honey bees is differently affected by dietary protein and a neonicotinoid pesticide	protein honey bee sucrose thiamethoxam dietary drug effects survival 
2016-06-01	Specific immune stimulation by endogenous bacteria in honey bees (Hymenoptera: Apidae)	bacteria potential immune environmental endogenous immunomodulatory bee strains development 
2016-06-01	Sperm viability and gene expression in honey bee queens (Apis mellifera) following exposure to the neonicotinoid insecticide imidacloprid and the organophosphate acaricide coumaphos	viability day expression chemical sperm honey coumaphos doses declines 
2016-06-01	Selective Behaviour of Honeybees in Acquiring European Propolis Plant Precursors	resins black bud sources plant markers behavior antimicrobial resin 
2016-06-01	Honeybees produce millimolar concentrations of non-neuronal acetylcholine for breeding: Possible adverse effects of neonicotinoids	brood larval gland thiacloprid unknown concentrations reduced content neonicotinoids 
2016-06-01	Varroa destructor and viruses association in honey bee colonies under different climatic conditions	colonies virus climate subtropical temperate received infestation treatment bee 
2016-06-01	Isoform-specific modulation of the chemical sensitivity of conserved TRPA1 channel in the major honeybee ectoparasitic mite, Tropilaelaps mercedesae	channel mercedesae activated one sequences arthropod honeybee chemical two 
2016-06-01	Rapid and Reliable Method for Analyzing Acaricides in Honey-Based Products	analytical limits standard solution products method affects practice ion 
2016-06-01	Food for pollinators: Quantifying the nectar and pollen resources of urban flower meadows	flower nectar resource per mixes meadows resources sugar rewards 
2016-05-31	Non-cultivated plants present a season-long route of pesticide exposure for honey bees	pollen plants neonicotinoid pollution honey pollinator foraging growing used 
2016-05-07	MelissAR: Towards augmented visual analytics of honey bee behaviour	relevant based design effective system bee implementation reality honey 
2016-05-01	The status of honey bee health in Italy: Results from the nationwide bee monitoring network	bee colony mortality health land positively honey hive monitoring 
2016-05-01	Weakness and collapse of bee colonies in Brazil: Are there cases of CCD?	collapse bee mainly pathogens recorded colonies studies possible associated 
2016-05-01	Chronic toxicity and physiological changes induced in the honey bee by the exposure to fipronil and Bacillus thuringiensis spores alone or combined	phosphate spores physiological enzyme dehydrogenase combinations midgut bacterial effects 
2016-05-01	Acute exposure to selenium disrupts associative conditioning and long-term memory recall in honey bees (Apis mellifera)	selenium form exposure conditioning sublethal heavy ng olfactory learning 
2016-05-01	A toolbox for quantitative gene expression in varroa destructor: RNA degradation in field samples and systematic analysis of reference gene stability	genes gene stable expression chain reference quality reverse polymerase 
2016-05-01	Natural Varroa mite-surviving Apis mellifera honeybee populations	populations mite survival honeybee destructor wild variety devastating largest 
2016-05-01	Disease dynamics of honeybees with Varroa destructor as parasite and virus vector	honeybees honeybee population mites effects virus infections parasitic mathematical 
2016-05-01	Multiyear survey targeting disease incidence in US honey bees	disease bee across loads positive prevalence paralysis destructor honey 
2016-05-01	Modulation of pesticide response in honeybees	variability assessment factors risk pesticide environmental physiological bee conditions 
2018-02-15	A 3-year survey of Italian honey bee-collected pollen reveals widespread contamination by agricultural pesticides	pesticide bee survey samples least positive higher environmental dietary 
2018-02-14	Study of the metatranscriptome of eight social and solitary wild bee species reveals novel viruses and bee parasites	viruses wild stranded solitary sequencing discovered species including plant 
2018-02-08	Short-Term Exposure to Lambda-Cyhalothrin Negatively Affects the Survival and Memory-Related Characteristics of Worker Bees Apis mellifera	
2018-02-08	Effects of neonicotinoid imidacloprid exposure on bumble bee (Hymenoptera: Apidae) queen survival and nest initiation	bees survival nest imidacloprid may show queen queens study 
2018-02-01	The immunological dependence of plant-feeding animals on their host’s medical properties may explain part of honey bee colony losses	honey bee medicinal dependence properties plants secondary colony may 
2018-02-01	Nosema ceranae disease of the honey bee (Apis mellifera)	pathology ceranae bee thought observations honey health effects well 
2018-02-01	Specialty oilseed crops provide an abundant source of pollen for pollinators and beneficial insects	oilseed crops production cuphea oilseeds potentially officinalis alternative values 
2018-02-01	Reproduction of parasitic mites Varroa destructor in original and new honeybee hosts	host lack hosts original trait new reproduction due brood 
2018-02-01	Characterization of gut bacterial flora of Apis mellifera from north-west Pakistan	gut bees bacteria microbiota isolates bacterial honey beneficial families 
2018-02-01	Stress decreases pollen foraging performance in honeybees	foraging behaviour metabolic pollen reduced nectar higher flight prefer 
2018-02-01	From field to food—will pesticide-contaminated pollen diet lead to a contamination of royal jelly?	contamination fed used concentrations queen pesticides detections nurse harvested 
2018-02-01	Genomes of the Hymenoptera	genomes progress assembly sequenced represent genome least sequencing needed 
2018-01-15	Classical and geometric morphometric methods reveal differences between specimens of Varroa destructor (Mesostigmata: Varroidae) from seven provinces of Iran	morphometric geometric specimens used length analysis classical difference located 
2018-01-07	Nutritional Physiology and Ecology of Honey Bees	bees colony food honey pollen proportions division labor regulate 
2018-01-02	Determining the minimum number of pollen grains needed for accurate honey bee (Apis mellifera) colony pollen pellet analysis	pollen floral taxonomic taxa bee minor grains honey count 
2018-01-01	Using colony monitoring devices to evaluate the impacts of land use and nutritional value of forage on honey bee health	scales devices growing colony used weight monitor traps two 
2018-01-01	Lactobacillus kunkeei strains decreased the infection by honey bee pathogens Paenibacillus larvae and Nosema ceranae	larvae improve mixture beneficial infected adult effect generated attractive 
2018-01-01	Lethal effects of Cr(III) alone and in combination with propiconazole and clothianidin in honey bees	heavy propiconazole antagonistic anthropogenic bee urban low mellifera metal 
2018-01-01	Epormenis cestri secretions in Sebastiania schottiana trees cause mass death of honey bee Apis mellifera larvae in Uruguay	secretions larvae affected mortality nectar larval located healthy bees 
