Source,Target,Weight
179,180,1
49,51,1
202,203,1
265,111,1
156,157,1
102,188,1
232,233,1
265,252,1
136,138,1
200,201,1
129,130,2
110,111,1
22,23,2
222,153,1
74,253,3
156,275,1
52,54,1
49,50,2
236,226,2
136,137,1
58,59,1
156,158,1
102,189,1
116,74,1
108,109,1
243,244,1
222,201,1
101,103,1
129,113,2
73,279,2
153,154,1
133,134,1
67,146,1
73,75,1
102,182,1
202,183,2
9,11,1
67,69,1
236,73,1
52,53,1
147,149,3
225,226,1
81,83,14
22,24,3
108,59,1
101,102,1
200,182,1
141,143,1
58,60,1
73,74,1
156,276,1
102,181,1
70,71,1
67,145,1
147,148,4
73,280,3
110,112,1
81,82,14
9,10,1
113,114,1
70,72,1
179,156,1
141,142,1
13,14,1
67,183,1
232,203,1
133,135,1
225,68,1
67,68,1
74,254,1
153,155,1
13,18,1
67,144,3
116,111,1
243,245,1
113,115,1
