Id,Label,Weight
88,test,5
236,cell,4
243,african,5
58,chromosom,3
172,larva,7
27,icp,5
183,nicotin,4
73,forag,10
57,mushroom,3
36,flower,8
219,inhibitor,4
26,forc,5
142,temperatur,6
144,venom,4
150,isol,4
59,differ,4
92,protein,8
23,queen,21
119,nativ,5
80,neuron,8
169,formic,4
50,melittin,3
37,nectar,7
70,drone,5
42,mite,23
35,ecotyp,6
186,secret,4
74,fraction,3
28,spore,3
113,site,8
47,pollin,4
56,bodi,4
49,structur,4
115,danc,5
25,homeward,5
38,pollen,12
114,nest,5
160,worker,6
175,heat,4
75,royal,3
69,mate,6
44,brood,7
72,weather,3
181,current,5
20,day,5
68,coloni,5
238,region,4
71,foodstor,3
24,home,5
96,group,6
