Source,Destination,Weight
23,44,38
23,37,49
23,42,29
23,25,67
23,21,31
23,47,34
23,31,36
23,29,41
23,20,24
23,39,23
23,40,42
23,35,36
23,45,377
23,49,42
23,27,1
23,32,55
23,1,33
23,6,35
23,41,24
23,43,35
23,7,51
23,3,100
23,26,47
23,22,14
23,38,33
23,46,41
23,4,299
23,2,12
23,33,31
23,48,88
23,15,77
23,13,521
23,9,27
23,28,43
23,36,102
23,5,39
23,18,60
23,10,51
23,14,36
23,19,177
23,12,25
23,34,36
23,17,39
23,16,50
23,0,70
23,30,44
23,24,7
23,11,45
13,36,44
13,49,37
13,27,7
13,7,13
13,5,16
13,23,521
13,3,54
13,32,8
13,22,1
13,38,11
13,18,22
13,10,7
13,42,9
13,4,78
13,14,12
13,33,27
13,37,23
13,25,6
13,19,93
13,2,14
13,39,17
13,21,7
13,12,12
13,34,8
13,47,13
13,46,14
13,17,23
13,31,11
13,48,24
13,29,16
13,44,22
13,16,16
13,0,35
13,20,8
13,30,23
13,15,17
13,8,17
13,26,7
13,40,19
13,35,17
13,24,7
13,9,22
13,41,4
13,28,17
13,1,20
13,45,4
13,43,14
13,11,19
13,6,18
45,36,4
45,49,20
45,27,11
45,7,18
45,5,1
45,41,2
45,23,377
45,3,58
45,34,11
45,32,6
45,22,1
45,38,18
45,46,19
45,18,20
45,10,24
45,42,9
45,4,34
45,14,12
45,37,12
45,25,34
45,19,58
45,2,6
45,21,23
45,12,21
45,47,44
45,33,17
45,17,15
45,31,19
45,48,14
45,29,10
45,44,13
45,16,10
45,0,25
45,40,18
45,20,28
45,30,22
45,39,17
45,15,19
45,8,23
45,13,4
45,35,7
45,24,37
45,6,25
45,9,7
45,28,23
45,1,6
45,43,17
45,11,9
19,49,14
19,7,6
19,18,1
19,0,28
19,5,1
19,23,177
19,3,28
19,26,2
19,1,1
19,38,29
19,10,10
19,4,3
19,42,26
19,25,8
19,2,16
19,34,7
19,47,4
19,33,7
19,31,3
19,48,1
19,29,1
19,16,1
19,20,3
19,30,8
19,15,4
19,8,13
19,13,93
19,40,4
19,35,5
19,24,14
19,9,2
19,41,43
19,45,58
19,43,2
19,6,1
4,15,6
4,36,9
4,46,3
4,12,5
4,34,4
4,13,78
4,27,5
4,35,17
4,47,2
4,42,1
4,7,2
4,6,1
4,10,2
4,49,3
4,9,7
4,14,6
4,17,3
4,31,6
4,29,8
4,37,2
4,45,34
4,5,24
4,25,1
4,23,299
4,3,2
4,19,3
4,26,10
4,48,14
4,16,3
4,43,1
4,0,2
4,32,5
4,20,1
4,21,1
7,15,1
7,38,8
7,46,10
7,49,2
7,12,3
7,34,4
7,8,4
7,13,13
7,27,2
7,22,1
7,29,1
7,10,1
7,45,18
7,4,2
7,9,2
7,14,3
7,33,3
7,41,6
7,48,2
7,1,3
7,37,6
7,25,1
7,23,51
7,19,6
7,26,2
7,2,8
7,0,25
7,3,4
7,32,12
3,15,4
3,38,9
3,49,3
3,12,3
3,34,1
3,8,6
3,13,54
3,40,21
3,18,8
3,27,5
3,35,1
3,47,8
3,7,4
3,24,1
3,6,4
3,10,1
3,4,2
3,41,5
3,28,15
3,48,1
3,1,4
3,29,1
3,42,11
3,45,58
3,25,4
3,23,100
3,19,28
3,26,4
3,44,8
3,2,2
3,0,16
3,20,2
3,11,4
3,21,1
3,30,5
3,39,2
41,15,3
41,38,5
41,46,2
41,49,7
41,34,3
41,13,4
41,18,2
41,27,3
41,35,2
41,47,3
41,7,6
41,6,1
41,9,2
41,33,4
41,17,2
41,5,1
41,1,1
41,42,2
41,45,2
41,25,7
41,3,5
41,19,43
41,20,1
41,16,1
41,23,24
41,43,2
41,0,9
41,8,5
41,11,3
41,32,1
41,10,3
41,21,1
41,30,8
41,39,1
30,35,1
30,36,1
30,38,2
30,8,5
30,13,23
30,18,1
30,47,7
30,24,3
30,33,2
30,6,7
30,10,1
30,42,1
30,46,1
30,49,1
30,41,8
30,43,1
30,28,2
30,1,3
30,45,22
30,5,1
30,25,7
30,23,44
30,3,5
30,19,8
30,26,1
30,44,1
30,0,1
30,11,2
30,40,2
30,20,12
30,21,7
30,39,3
0,36,2
0,38,41
0,46,9
0,49,2
0,12,2
0,34,5
0,8,6
0,13,35
0,27,2
0,35,1
0,47,1
0,7,25
0,24,2
0,33,3
0,10,2
0,4,2
0,17,1
0,28,1
0,48,3
0,1,12
0,42,4
0,45,25
0,41,9
0,25,3
0,23,70
0,3,16
0,19,28
0,26,2
0,44,1
0,2,3
0,43,2
0,11,2
0,32,5
0,30,1
0,39,1
25,15,1
25,22,1
25,35,2
25,36,1
25,38,2
25,46,2
25,8,4
25,13,6
25,40,1
25,18,6
25,27,1
25,47,5
25,7,1
25,24,3
25,33,1
25,4,1
25,6,9
25,10,66
25,17,3
25,41,7
25,43,1
25,12,1
25,29,1
25,42,1
25,45,34
25,23,67
25,3,4
25,19,8
25,2,2
25,34,2
25,0,3
25,32,1
25,20,1
25,11,1
25,30,7
32,22,2
32,13,8
32,7,12
32,10,3
32,46,4
32,4,5
32,14,3
32,41,1
32,0,5
32,1,1
32,37,2
32,45,6
32,25,1
32,23,55
32,2,2
18,15,1
18,46,3
18,12,7
18,8,1
18,13,22
18,40,4
18,35,6
18,47,1
18,6,8
18,10,3
18,14,1
18,41,2
18,28,3
18,31,2
18,1,1
18,37,1
18,45,20
18,25,6
18,23,60
18,3,8
18,19,1
18,26,2
18,44,24
18,2,5
18,43,2
18,11,8
18,39,4
18,21,2
18,30,1
15,22,1
15,36,11
15,46,2
15,12,3
15,3,4
15,40,1
15,18,1
15,35,3
15,7,1
15,6,3
15,10,1
15,4,6
15,9,3
15,17,1
15,5,2
15,41,3
15,28,2
15,31,2
15,48,6
15,29,3
15,37,1
15,45,19
15,25,1
15,23,77
15,13,17
15,19,4
48,1,2
48,15,6
48,29,55
48,49,1
48,5,2
48,45,14
48,34,1
48,19,1
48,23,88
48,3,1
48,4,14
48,13,24
48,33,1
48,39,1
48,7,2
48,16,1
48,0,3
48,24,1
48,43,1
36,15,11
36,46,1
36,8,1
36,13,44
36,27,4
36,35,14
36,10,1
36,4,9
36,9,3
36,14,1
36,29,1
36,37,2
36,45,4
36,5,17
36,25,1
36,23,102
36,0,2
36,30,1
36,39,1
46,15,2
46,22,2
46,36,1
46,12,1
46,13,14
46,18,3
46,35,1
46,7,10
46,4,3
46,10,1
46,14,1
46,43,1
46,49,1
46,1,7
46,37,2
46,45,19
46,41,2
46,25,2
46,23,41
46,0,9
46,32,4
46,11,1
46,30,1
8,36,1
8,38,3
8,13,17
8,40,2
8,18,1
8,35,1
8,7,4
8,24,4
8,33,1
8,16,1
8,9,3
8,14,1
8,17,2
8,41,5
8,31,3
8,1,3
8,37,1
8,42,21
8,45,23
8,25,4
8,3,6
8,19,13
8,34,2
8,26,4
8,44,2
8,2,1
8,43,2
8,0,6
8,11,1
8,28,4
8,6,4
8,30,5
8,39,2
49,1,3
49,38,1
49,46,1
49,34,2
49,13,37
49,7,2
49,24,1
49,33,13
49,6,1
49,4,3
49,9,2
49,41,7
49,0,2
49,45,20
49,23,42
49,3,3
49,19,14
49,16,1
49,26,1
49,48,1
49,30,1
49,39,1
37,15,1
37,4,2
37,36,2
37,46,2
37,5,4
37,45,12
37,23,49
37,8,1
37,9,1
37,13,23
37,14,61
37,18,1
37,27,1
37,32,2
37,16,1
37,7,6
37,12,2
10,15,1
10,38,1
10,46,1
10,34,3
10,13,7
10,40,2
10,18,3
10,27,1
10,35,1
10,47,1
10,7,1
10,36,1
10,6,8
10,4,2
10,17,2
10,41,3
10,43,1
10,12,1
10,31,1
10,45,24
10,25,66
10,23,51
10,3,1
10,19,10
10,2,5
10,0,2
10,11,1
10,32,3
10,20,1
10,30,1
34,1,1
34,38,3
34,49,2
34,47,1
34,8,2
34,7,4
34,24,1
34,10,3
34,4,4
34,41,3
34,31,2
34,48,1
34,29,2
34,45,11
34,25,2
34,23,36
34,3,1
34,19,7
34,26,2
34,2,1
34,0,5
34,13,8
34,20,1
34,39,1
26,38,1
26,49,1
26,34,2
26,8,4
26,13,7
26,18,2
26,27,3
26,47,2
26,7,2
26,6,1
26,4,10
26,9,1
26,17,3
26,28,3
26,31,1
26,29,1
26,23,47
26,3,4
26,19,2
26,2,1
26,43,2
26,0,2
26,11,1
26,30,1
14,36,1
14,37,61
14,45,12
14,5,1
14,12,1
14,46,1
14,23,36
14,4,6
14,8,1
14,13,12
14,18,1
14,32,3
14,16,1
14,7,3
14,31,1
47,0,1
47,18,1
47,45,44
47,6,2
47,10,1
47,11,1
47,25,5
47,40,2
47,23,34
47,3,8
47,4,2
47,13,13
47,17,1
47,34,1
47,26,2
47,27,1
47,41,3
47,39,2
47,2,1
47,19,4
47,20,17
47,21,8
47,30,7
2,0,3
2,24,2
2,38,1
2,45,6
2,10,5
2,11,2
2,12,1
2,25,2
2,34,1
2,23,12
2,3,2
2,8,1
2,13,14
2,40,2
2,18,5
2,19,16
2,26,1
2,32,2
2,44,1
2,47,1
2,7,8
2,31,1
2,29,1
6,15,3
6,3,4
6,4,1
6,39,1
6,43,1
6,45,25
6,49,1
6,10,8
6,11,1
6,12,3
6,25,9
6,23,35
6,8,4
6,13,18
6,40,3
6,17,4
6,18,8
6,19,1
6,26,1
6,27,1
6,35,2
6,44,2
6,47,2
6,20,3
6,41,1
6,16,1
6,28,1
6,30,7
31,15,2
31,45,19
31,10,1
31,23,36
31,4,6
31,8,3
31,9,1
31,2,1
31,13,11
31,14,1
31,18,2
31,19,3
31,34,2
31,26,1
31,27,2
31,24,1
31,43,1
38,0,41
38,42,2
38,45,18
38,49,1
38,10,1
38,25,2
38,34,3
38,23,33
38,3,9
38,8,3
38,13,11
38,19,29
38,28,1
38,26,1
38,41,5
38,2,1
38,7,8
38,24,1
38,30,2
11,0,2
11,45,9
11,46,1
11,6,1
11,10,1
11,12,1
11,25,1
11,23,45
11,3,4
11,8,1
11,26,1
11,13,19
11,17,1
11,18,8
11,27,1
11,35,3
11,41,3
11,44,11
11,47,1
11,2,2
11,21,4
11,30,2
11,39,1
11,43,2
29,15,3
29,4,8
29,36,1
29,45,10
29,25,1
29,34,2
29,3,1
29,13,16
29,19,1
29,7,1
29,44,1
29,2,1
29,43,1
29,23,41
29,26,1
29,48,55
12,0,2
12,1,1
12,46,1
12,15,3
12,35,1
12,37,2
12,45,21
12,6,3
12,11,1
12,23,25
12,25,1
12,3,3
12,4,5
12,9,2
12,13,12
12,14,1
12,10,1
12,18,7
12,20,1
12,27,1
12,44,1
12,2,1
12,7,3
12,21,3
12,24,1
12,39,3
33,5,1
33,1,1
33,45,17
33,49,13
33,25,1
33,23,31
33,8,1
33,9,2
33,13,27
33,19,7
33,42,1
33,35,1
33,41,4
33,7,3
33,0,3
33,21,2
33,24,2
33,30,2
33,48,1
44,0,1
44,1,3
44,29,1
44,21,1
44,45,13
44,6,2
44,11,11
44,12,1
44,23,38
44,3,8
44,8,2
44,13,22
44,40,2
44,18,24
44,35,1
44,2,1
44,24,1
44,30,1
44,39,3
44,43,1
35,0,1
35,15,3
35,3,1
35,36,14
35,45,7
35,6,2
35,5,4
35,10,1
35,11,3
35,12,1
35,46,1
35,25,2
35,23,36
35,4,17
35,8,1
35,9,6
35,13,17
35,17,1
35,18,6
35,19,5
35,41,2
35,44,1
35,43,4
35,24,1
35,30,1
35,33,1
35,39,1
43,0,2
43,39,3
43,31,1
43,29,1
43,18,2
43,45,17
43,46,1
43,6,1
43,5,1
43,10,1
43,25,1
43,40,1
43,23,35
43,4,1
43,8,2
43,9,1
43,13,14
43,17,1
43,19,2
43,26,2
43,35,4
43,41,2
43,44,1
43,20,1
43,11,2
43,30,1
43,27,1
43,48,1
21,1,1
21,39,1
21,45,23
21,11,4
21,12,3
21,44,1
21,23,31
21,3,1
21,4,1
21,13,7
21,18,2
21,47,8
21,20,2
21,41,1
21,30,7
21,33,2
28,15,2
28,38,1
28,45,23
28,6,1
28,23,43
28,3,15
28,8,4
28,13,17
28,40,23
28,17,6
28,18,3
28,26,3
28,27,2
28,20,1
28,0,1
28,30,2
1,0,12
1,21,1
1,16,2
1,22,1
1,45,6
1,46,7
1,33,1
1,49,3
1,12,1
1,34,1
1,23,33
1,3,4
1,8,3
1,13,20
1,18,1
1,19,1
1,32,1
1,41,1
1,44,3
1,7,3
1,30,3
1,39,3
1,48,2
20,45,28
20,6,3
20,10,1
20,41,1
20,12,1
20,25,1
20,34,1
20,40,1
20,23,24
20,3,2
20,4,1
20,13,8
20,27,1
20,47,17
20,19,3
20,21,2
20,28,1
20,30,12
20,39,1
20,43,1
40,15,1
40,45,18
40,6,3
40,10,2
40,25,1
40,23,42
40,3,21
40,8,2
40,13,19
40,18,4
40,17,6
40,19,4
40,27,2
40,44,2
40,47,2
40,2,2
40,20,1
40,43,1
40,28,23
40,30,2
22,1,1
22,15,1
22,45,1
22,46,2
22,25,1
22,23,14
22,13,1
22,32,2
22,7,1
27,0,2
27,12,1
27,25,1
27,31,2
27,36,4
27,37,1
27,45,11
27,9,1
27,6,1
27,5,3
27,10,1
27,11,1
27,3,5
27,4,5
27,13,7
27,40,2
27,26,3
27,7,2
27,41,3
27,47,1
27,20,1
27,28,2
27,39,1
27,43,1
27,23,1
5,15,2
5,36,17
