Id,Label,Weight
0,pollen,201
1,nutrit,82
2,stingless bee,101
3,forag,225
4,varroa destructor,495
5,resist,75
6,pheromon,98
7,honey,240
8,api,131
9,varroa,71
10,apida,118
11,juvenil hormon,91
12,gene express,90
13,honey bee,1368
14,paenibacillu larva,103
15,api cerana,157
16,aethina tumida,75
17,swarm,73
18,social insect,177
19,pollin,592
20,olfact,81
21,mushroom bodi,84
22,bee venom,78
23,api mellifera,3295
24,bumblebe,73
25,hymenoptera,178
26,african honey bee,103
27,api mellifera carnica,77
28,waggl danc,83
29,nosema api,90
30,insect,206
31,microsatellit,95
32,propoli,178
33,neonicotinoid,89
34,beekeep,107
35,reproduct,86
36,varroa jacobsoni,148
37,american foulbrood,118
38,nectar,95
39,age,73
40,commun,79
41,bee,220
42,bombu,72
43,drone,86
44,divis of labor,87
45,honeybe,1322
46,royal jelli,132
47,learn,101
48,nosema cerana,151
49,pesticid,129
