Source,Destination,Weight
73,119,1
73,79,1
73,77,1
73,80,1
73,87,1
73,94,2
73,74,1
73,82,1
73,86,4
74,79,1
74,77,3
74,102,1
74,87,1
74,119,1
74,82,2
74,83,2
74,73,1
74,86,2
75,81,12
75,85,1
75,92,1
75,102,1
75,88,3
75,106,1
75,89,3
76,85,1
76,80,1
76,114,4
76,89,1
76,111,1
77,79,26
77,122,1
77,112,1
77,74,3
77,73,1
77,86,1
79,122,1
79,112,1
79,77,26
79,74,1
79,73,1
80,73,1
80,76,1
81,75,12
81,88,1
81,89,4
82,74,2
82,73,1
82,86,1
83,74,2
83,86,2
84,95,5
84,101,2
85,94,1
85,75,1
85,76,1
86,83,2
86,73,4
86,74,2
86,77,1
86,82,1
86,87,1
87,94,1
87,73,1
87,74,1
87,86,1
88,81,1
88,75,3
88,89,2
89,81,4
89,75,3
89,88,2
89,76,1
90,105,1
92,75,1
92,106,1
94,85,1
94,73,2
94,87,1
95,101,1
95,84,5
96,110,2
101,95,1
101,84,2
102,75,1
102,119,1
102,74,1
105,90,1
106,75,1
106,92,1
110,96,2
111,76,1
112,79,1
112,77,1
114,76,4
119,102,1
119,73,1
119,74,1
122,77,1
122,79,1
