Id,Label,Weight
73,coloni collaps disord,45
74,coloni loss,42
75,dna methyl,34
76,transcriptom,32
77,coloss,32
78,real-tim pcr,29
79,beebook,26
80,social immun,22
81,epigenet,22
82,clothianidin,22
83,nosemosi,19
84,saudi arabia,16
85,microrna,16
86,ccd,15
87,honey bee virus,11
88,polyphen,11
89,phenotyp plastic,11
90,singl nucleotid polymorph,11
91,physicochem analysi,11
92,nosema spp.,11
93,trophocyt,11
94,bioinformat,10
95,api mellifera jemenitica,10
96,abund,10
97,color,10
98,lc50,10
99,agricultur landscap,10
100,lactobacillu,9
101,anthophila,9
102,nosema spp,9
103,floral trait,9
104,food,9
105,api mellifera iberiensi,9
106,biomark,9
107,food safeti,9
108,lamiacea,9
109,varroa sensit hygien,8
110,speci rich,8
111,social,8
112,insemin,8
113,energet stress,8
114,rna-seq,8
115,caatinga,8
116,lipid peroxid,8
117,palynolog,8
118,bulgaria,8
119,honey bee health,8
120,agent-bas model,8
121,phosphoproteom,8
122,tropilaelap mercedesa,8
