Source,Destination,Weight
23,44,38
23,61,14
23,64,44
23,71,15
23,60,5
23,37,49
23,25,67
23,59,19
23,31,36
23,20,24
23,39,23
23,72,22
23,45,377
23,51,36
23,65,26
23,58,29
23,69,17
23,52,32
23,43,35
23,66,31
23,56,19
23,3,100
23,22,14
23,4,299
23,70,26
23,2,12
23,67,15
23,57,38
23,54,3
23,13,521
23,9,27
23,28,43
23,68,16
23,53,2
23,36,102
23,5,39
23,62,15
23,18,60
23,14,36
23,19,177
23,63,14
23,12,25
23,50,8
23,34,36
23,55,19
23,30,44
23,24,7
23,11,45
13,36,44
13,66,19
13,56,13
13,65,8
13,5,16
13,50,2
13,23,521
13,3,54
13,61,4
13,64,20
13,71,5
13,22,1
13,62,7
13,18,22
13,4,78
13,14,12
13,60,2
13,37,23
13,25,6
13,19,93
13,2,14
13,58,10
13,59,7
13,39,17
13,63,10
13,51,16
13,12,12
13,34,8
13,67,17
13,57,8
13,69,5
13,31,11
13,44,22
13,55,18
13,54,4
13,20,8
13,30,23
13,72,7
13,8,17
13,24,7
13,9,22
13,28,17
13,68,4
13,52,11
13,45,4
13,53,5
13,43,14
13,11,19
45,36,4
45,66,6
45,61,11
45,56,12
45,65,9
45,5,1
45,23,377
45,3,58
45,34,11
45,64,3
45,71,5
45,22,1
45,62,28
45,18,20
45,4,34
45,14,12
45,70,1
45,60,1
45,37,12
45,53,9
45,25,34
45,19,58
45,2,6
45,58,4
45,59,9
45,63,9
45,51,15
45,12,21
45,50,1
45,67,2
45,57,9
45,69,3
45,31,19
45,44,13
45,55,11
45,54,12
45,20,28
45,30,22
45,39,17
45,72,17
45,8,23
45,13,4
45,24,37
45,9,7
45,28,23
45,68,18
45,52,6
45,43,17
45,11,9
19,18,1
19,61,1
19,5,1
19,23,177
19,3,28
19,54,1
19,62,1
19,4,3
19,70,2
19,60,19
19,53,2
19,25,8
19,2,16
19,58,1
19,63,1
19,51,4
19,34,7
19,67,3
19,57,1
19,69,3
19,31,3
19,55,5
19,20,3
19,30,8
19,8,13
19,13,93
19,24,14
19,9,2
19,52,1
19,45,58
19,43,2
4,63,1
4,36,9
4,51,1
4,12,5
4,34,4
4,72,1
4,13,78
4,66,2
4,58,3
4,69,4
4,9,7
4,57,22
4,14,6
4,70,5
4,31,6
4,56,1
4,37,2
4,45,34
4,5,24
4,53,5
4,25,1
4,23,299
4,3,2
4,19,3
4,43,1
4,52,3
4,65,34
4,54,2
4,64,9
4,20,1
4,68,2
3,51,1
3,12,3
3,34,1
3,72,7
3,8,6
3,13,54
3,18,8
3,24,1
3,4,2
3,61,1
3,70,2
3,28,15
3,60,8
3,45,58
3,53,4
3,25,4
3,23,100
3,19,28
3,44,8
3,55,8
3,2,2
3,58,2
3,59,4
3,62,1
3,20,2
3,11,4
3,30,5
3,39,2
3,71,2
30,36,1
30,51,3
30,72,5
30,8,5
30,13,23
30,62,9
30,18,1
30,24,3
30,61,5
30,43,1
30,28,2
30,56,1
30,45,22
30,5,1
30,25,7
30,23,44
30,3,5
30,19,8
30,44,1
30,55,1
30,58,8
30,11,2
30,20,12
30,39,3
30,71,7
25,22,1
25,36,1
25,50,1
25,72,2
25,8,4
25,13,6
25,18,6
25,24,3
25,4,1
25,61,1
25,43,1
25,12,1
25,60,5
25,52,1
25,45,34
25,23,67
25,3,4
25,19,8
25,55,2
25,2,2
25,34,2
25,64,1
25,62,1
25,20,1
25,68,2
25,11,1
25,30,7
25,71,1
18,63,6
18,12,7
18,72,1
18,8,1
18,13,22
18,66,1
18,14,1
18,61,3
18,70,1
18,28,3
18,31,2
18,60,1
18,37,1
18,52,1
18,45,20
18,25,6
18,23,60
18,3,8
18,19,1
18,44,24
18,55,5
18,2,5
18,58,1
18,43,2
18,59,2
18,11,8
18,39,4
18,56,1
18,30,1
18,71,3
36,64,4
36,55,4
36,8,1
36,13,44
36,66,1
36,4,9
36,9,3
36,57,2
36,14,1
36,37,2
36,52,1
36,45,4
36,5,17
36,25,1
36,23,102
36,58,3
36,65,1
36,30,1
36,39,1
8,63,1
8,36,1
8,72,2
8,13,17
8,18,1
8,24,4
8,67,1
8,9,3
8,14,1
8,31,3
8,56,2
