Id,Label,Weight
23,api mellifera,3295
13,honey bee,1368
45,honeybe,1322
19,pollin,592
4,varroa destructor,495
3,forag,225
30,insect,206
25,hymenoptera,178
18,social insect,177
36,varroa jacobsoni,148
8,api,131
37,american foulbrood,118
34,beekeep,107
14,paenibacillu larva,103
2,stingless bee,101
31,microsatellit,95
11,juvenil hormon,91
12,gene express,90
44,divis of labor,87
43,drone,86
28,waggl danc,83
20,olfact,81
22,bee venom,78
5,resist,75
39,age,73
24,bumblebe,73
9,varroa,71
50,melittin,70
51,imidacloprid,68
52,mitochondri dna,67
53,api mellifera scutellata,66
54,api mellifera capensi,65
55,behavior,65
56,hypopharyng gland,64
57,deform wing viru,63
58,develop,60
59,vitellogenin,59
60,apoidea,58
61,evolut,57
62,memori,57
63,genet divers,56
64,acarapi woodi,54
65,oxal acid,54
66,ascosphaera api,54
67,risk assess,52
68,proteom,52
69,apicultur,51
70,african honeybe,50
71,biogen amin,49
72,thermoregul,49
