Source,Destination,Weight
50,64,1
50,93,2
50,85,2
50,53,2
50,99,1
50,94,4
50,77,19
50,91,28
50,54,4
50,70,2
50,68,5
50,79,3
50,59,2
50,63,3
50,75,19
50,82,11
50,65,1
50,52,1
50,62,5
50,51,2
50,61,5
50,56,1
50,57,2
50,81,2
50,55,6
51,67,1
51,93,3
51,72,6
51,50,2
51,92,2
51,91,3
51,54,11
51,80,2
51,59,5
51,61,2
51,52,3
51,69,1
51,78,1
51,62,2
51,74,1
51,53,24
51,58,8
51,73,1
51,55,3
52,66,13
52,96,1
52,64,1
52,71,19
52,57,8
52,72,1
52,69,2
52,50,1
52,84,4
52,86,1
52,89,1
52,60,7
52,68,1
52,79,2
52,59,1
52,65,1
52,61,2
52,83,1
52,78,2
52,62,3
52,74,1
52,53,15
52,51,3
52,56,3
52,58,7
52,73,3
52,98,1
53,58,37
53,72,2
53,69,2
53,85,1
53,50,2
53,92,1
53,78,3
53,91,1
53,54,3
53,60,1
53,75,1
53,70,2
53,80,1
53,68,1
53,59,5
53,65,4
53,61,1
53,52,15
53,97,1
53,62,2
53,51,24
53,57,1
53,56,5
53,73,11
53,81,1
54,67,3
54,50,4
54,72,2
54,74,1
54,53,3
54,51,11
54,73,1
54,81,1
54,55,2
54,69,1
55,63,1
55,84,1
55,88,1
55,77,1
55,51,3
55,93,3
55,54,2
55,82,1
55,61,1
55,81,1
55,50,6
55,68,1
55,69,1
56,96,7
56,72,2
56,50,1
56,86,1
56,92,1
56,70,1
56,68,1
56,59,2
56,52,3
56,90,2
56,74,1
56,53,5
56,58,4
56,81,1
57,81,1
57,53,1
57,89,1
57,64,15
57,95,1
57,65,1
57,85,1
57,71,2
57,52,8
57,72,1
57,50,2
57,83,29
57,79,2
57,59,1
57,69,1
57,76,7
57,98,2
58,74,1
58,53,37
58,51,8
58,56,4
58,65,2
58,80,2
58,72,1
58,69,1
58,81,2
58,52,7
58,79,1
58,59,3
58,78,1
59,53,5
59,94,1
59,64,1
59,51,5
59,57,1
59,93,1
59,56,2
59,58,3
59,78,1
59,52,1
59,70,1
59,80,1
59,81,1
59,50,2
59,95,1
59,68,1
59,72,1
59,79,2
60,84,1
60,53,1
60,86,2
60,89,4
60,52,7
60,82,2
60,73,3
60,71,2
60,87,2
60,99,1
60,98,1
60,61,1
61,84,1
