Id,Label,Weight
100,Nosema ceranae,158
101,Nosema,44
102,Colony collapse disorder,38
103,DNA methylation,33
104,Colony losses,29
105,COLOSS,28
106,Antioxidant,27
107,Real-time PCR,26
108,BEEBOOK,26
109,Transcriptome,22
110,Social evolution,22
111,Clothianidin,21
112,Sacbrood virus,21
113,Social immunity,20
114,Nosemosis,19
115,Proteomics,19
116,Virulence,18
117,DWV,18
118,Epigenetics,17
119,Sublethal effects,16
120,Saudi Arabia,16
121,GPCR,15
122,Pollinator decline,15
123,Neuropeptide,14
124,CCD,14
125,Ants,14
126,Proteome,14
127,gene expression,13
128,Inflammation,13
129,proteome,13
130,Wild bee,13
131,Immune response,13
132,Agroecosystems,12
133,Adaptation,12
134,apiculture,12
135,LC50,11
136,Nosema spp.,11
137,Pollen trap,11
138,Apis mellifera jemenitica,11
139,Land use,11
140,colony losses,11
141,Climate change,11
142,Genome,11
143,Physicochemical analysis,10
144,Apis mellifera iberiensis,10
145,Probiotics,10
146,Nosema spp,10
147,conservation,10
148,Color,10
149,Lactobacillus,10
