Id,Label,Weight
65,qtl,2
223,immun,2
123,sbv,2
429,repel,2
232,temperatur,3
267,fire,8
193,garden,2
280,feral,2
225,coffe,3
384,genotyp,3
118,anaphylaxi,2
105,fipronil,2
122,bread,2
206,contamin,2
377,bumblebe,2
199,pheromon,4
256,epigenet,2
46,chimpanze,2
255,haplotyp,2
156,evolut,2
290,eaa,2
106,mitochondria,2
150,drone,2
242,oil,2
420,spiroplasma,2
268,amylovora,8
403,caffein,2
153,afb,2
112,melittin,3
361,polic,2
246,sugar,2
111,venom,2
470,phosphoryl,2
101,mgml,2
149,spore,4
130,waggl,2
178,trap,2
152,cast,2
252,wing,2
269,spheric,8
78,insecticid,2
102,propoli,3
259,recombin,2
170,landscap,3
79,neonicotinoid,2
159,beeswax,2
100,fraction,2
137,age,2
138,protein,3
116,record,2
