Label,weight
sitosterol, 2
stigmasterol, 2
24-methylenecholesterol, 2
synthetic diet, 2
dietary sterols, 2
campesterol, 2
cholesterol, 2
apis mellifera l., 2
hydrocarbons, 1
microsporidian, 1
pseudopodia, 1
mass spectrometry, 1
methoxyethers, 1
workers, 1
midgut, 1
sterol analysis, 1
ovarian development, 1
alkenes, 1
beeswax, 1
nasonov pheromone, 1
insect hydrocarbons, 1
apis, 1
hymenoptera, 1
octosporea muscaedomesticae, 1
carbaryl residues, 1
perpupae, 1
mercuration-demercuration, 1
gc-ms, 1
brood production, 1
gas chromatography, 1
extraction technique, 1
high-performance liquid chromatography, 1
prepupae, 1
prepupal sterols, 1
[13c]-nmr, 1
pheromone, 1
terpenoids, 1
