Label,weight
mating behavior, 2
animal communication, 2
qmp, 2
glycine max, 2
locomotion, 2
soybean, 2
apini, 2
immune response, 2
directional information, 2
eucalyptus, 2
apple (malus domestica borkh.), 2
cloning, 2
prenylated phenylpropanoids, 2
cns, 2
fruit size, 2
mobile phone, 2
honeybee races, 2
dance, 1
behavioural choice, 1
proboscis extension response (per), 1
morphocluster, 1
sperm use, 1
smr, 1
immunosenescence, 1
rendezvous site, 1
peptide hormone, 1
cyprus, 1
rna viruses, 1
in vitro method, 1
nors, 1
corymbia, 1
cellular death, 1
neuropeptides, 1
national park, 1
myoblast, 1
oil flowers, 1
growth processes, 1
yeast cells, 1
diploid and haploid drones, 1
oocytes, 1
neurotransmitter inactivation, 1
alternatives, 1
biodistribution, 1
apalbumin, 1
tracheal bee mite, 1
abiotic constraint, 1
neoisoastilbin, 1
replication, 1
haploid male, 1
hypotension, 1
heliothis virescens, 1
major royal jelly proteins, 1
honeybee behavior, 1
genes for sterility, 1
selfing, 1
tropomyosin, 1
broiler, 1
power analysis, 1
crops, 1
camassia quamash, 1
formica aquilonia, 1
functional genomic research, 1
natural history, 1
biocatalysis, 1
intergenerational transfer, 1
subspecific taxon, 1
agavaceae, 1
subfunctionalization, 1
double backcross, 1
tumours, 1
bee attractants, 1
mushroom body neurons, 1
quantitative pcr, 1
reserve capacity, 1
eucalyptus marginata, 1
leucocytes, 1
animal behavior, 1
energetic development, 1
essential oil composition, 1
persistent infection, 1
brain size, 1
honeybee pathogens, 1
seasonal dry forest, 1
amylose, 1
habituation, 1
9-oda, 1
volatile, 1
evolution of sex, 1
anderson function discriminant, 1
streptomyces, 1
electric shock treatment, 1
astragalus sinicus, 1
neurotoxicity, 1
proteome analysis, 1
buffer distance, 1
mortality dynamics, 1
direct sequencing, 1
immunostimulants, 1
western asia, 1
cactaceae, 1
lipophilicity, 1
sucrose sensitivity, 1
cuticular laceration, 1
multiplex, 1
macrophages, 1
chinese milk vetch, 1
molecular marker, 1
disease diagnosis, 1
wax foundation, 1
midgut enzyme activity, 1
habitat differences, 1
lt-sem, 1
selected honeybees, 1
position finding, 1
computer program, 1
extinction, 1
crematogaster rogenhoferi, 1
foraging ecology, 1
apis mellifera genome, 1
chemopreventian, 1
alkaloid, 1
arab gulf region, 1
molecular phylogenetics, 1
receptor noise, 1
agave, 1
natural compound, 1
biocontrol risk assessment, 1
wingbeat frequency, 1
bee assemblage, 1
visual, 1
image motion, 1
host-finding, 1
molecular diagnostics, 1
foulbrood, 1
burseraceae, 1
pax group 3/7, 1
genetic algorithms, 1
honey bee workers, 1
homeostatic effects, 1
heathland, 1
parasympathetic, 1
risk factors, 1
hydrolysis, 1
vegf, 1
robust natural systems, 1
pumpkin, 1
neuropeptide, 1
all-trans retinoic acid, 1
gene loss, 1
microsatelite dna, 1
ionophores, 1
honeybee dance language, 1
protein fractionation, 1
oecophylla smaragdina, 1
oil bees, 1
territoriality, 1
columnar cacti, 1
peak district, 1
damage, 1
wingbeat kinematics, 1
snapdragon, 1
seeds, 1
choline, 1
geometrical distortion, 1
holometabola, 1
dishabituation, 1
phenological complementarity, 1
predator-prey relationship, 1
cane fruit, 1
flowering intensity, 1
visual processing, 1
leukemia, 1
