Id,Label,Weight
389,canola,2
240,gene,2
94,ipsilater,17
123,substanc,2
92,sog,17
90,tree,2
111,subspeci,2
363,infloresc,2
155,oil,2
364,ant,2
144,pupa,2
47,pcr,2
49,steril,2
119,densispica,2
36,conidia,3
133,genet,3
96,kbv,3
29,umg,2
395,incid,2
287,trap,2
66,strip,2
81,αglucosidas,2
140,patrilin,3
93,protocerebrum,17
193,royal,2
449,melittin,3
360,map,2
204,pheromon,2
345,cbpv,2
167,staphylococcu,2
20,sting,2
153,line,2
120,pollin,2
117,solut,2
206,receiv,2
238,comb,3
26,rna,2
175,queen,3
183,spore,3
199,eucalyptu,2
38,bassiana,3
105,lobe,2
10,splice,2
45,multiplex,2
469,danc,3
225,nativ,2
135,flight,2
122,propoli,2
192,jelli,2
202,strain,2
