Id,Label,weight
apis mellifera,apis mellifera, 21
honey bee,honey bee, 13
honeybee,honeybee, 8
honey bees,honey bees, 5
insect visual system,insect visual system, 3
nasonov pheromone,nasonov pheromone, 3
apis mellifera l,apis mellifera l, 3
pheromone,pheromone, 3
malate dehydrogenase,malate dehydrogenase, 2
stigmasterol,stigmasterol, 2
electrophoresis,electrophoresis, 2
proteins,proteins, 2
light microscopy,light microscopy, 2
terpenoids,terpenoids, 2
haemolymph,haemolymph, 2
isozymes,isozymes, 2
wax esters,wax esters, 2
hemolymph,hemolymph, 2
hymenoptera,hymenoptera, 2
robinia pseudo-acacia honey,robinia pseudo-acacia honey, 2
