Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Gaio A.D.O., Rodrigues R.C.C., Do Nascimento C., Secundino N.F.C., Lemos F.J.A., Pimenta P.F.P., Monesi N.","Use of the checkerboard DNA-DNA hybridization technique for bacteria detection in Aedes aegypti (Diptera:Culicidae) (L.)",2011,"Parasites and Vectors","4","1", 237,"","",,1,10.1186/1756-3305-4-237,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-83655181473&doi=10.1186%2f1756-3305-4-237&partnerID=40&md5=7a0bba5f7f3b0ff16e8efc8373795672","Laboratário de Biotecnologia, Universidade Estadual Do Norte Fluminense-UENF, Av. Alberto Lamego 2000, Horto, 28013-602, Campos dos Goytacazes, RJ, Brazil; Departamento de Materiais Dentários e Prátese, Faculdade de Odontologia de Ribeirão Preto, USP, Av. do Café, s/n, Monte Alegre, 14040-904, Ribeirão Preto, SP, Brazil; Laboratário de Entomologia Médica, Centro de Pesquisas René Rachou, Fundação Oswaldo Cruz, Av. Augusto de Lima 1715, 30190-002, Barro Preto, Belo Horizonte, MG, Brazil; Departamento de Análises Clínicas, Toxicolágicas e Bromatolágicas, Faculdade de Ciências Farmacêuticas de Ribeirão Preto, USP, Av. do Café s/n, Monte Alegre, 14040-903, Ribeirão Preto, SP, Brazil","Gaio, A.D.O., Laboratário de Biotecnologia, Universidade Estadual Do Norte Fluminense-UENF, Av. Alberto Lamego 2000, Horto, 28013-602, Campos dos Goytacazes, RJ, Brazil; Rodrigues, R.C.C., Laboratário de Biotecnologia, Universidade Estadual Do Norte Fluminense-UENF, Av. Alberto Lamego 2000, Horto, 28013-602, Campos dos Goytacazes, RJ, Brazil; Do Nascimento, C., Departamento de Materiais Dentários e Prátese, Faculdade de Odontologia de Ribeirão Preto, USP, Av. do Café, s/n, Monte Alegre, 14040-904, Ribeirão Preto, SP, Brazil; Secundino, N.F.C., Laboratário de Entomologia Médica, Centro de Pesquisas René Rachou, Fundação Oswaldo Cruz, Av. Augusto de Lima 1715, 30190-002, Barro Preto, Belo Horizonte, MG, Brazil; Lemos, F.J.A., Laboratário de Biotecnologia, Universidade Estadual Do Norte Fluminense-UENF, Av. Alberto Lamego 2000, Horto, 28013-602, Campos dos Goytacazes, RJ, Brazil; Pimenta, P.F.P., Laboratário de Entomologia Médica, Centro de Pesquisas René Rachou, Fundação Oswaldo Cruz, Av. Augusto de Lima 1715, 30190-002, Barro Preto, Belo Horizonte, MG, Brazil; Monesi, N., Departamento de Análises Clínicas, Toxicolágicas e Bromatolágicas, Faculdade de Ciências Farmacêuticas de Ribeirão Preto, USP, Av. do Café s/n, Monte Alegre, 14040-903, Ribeirão Preto, SP, Brazil","Background: Bacteria associated with insects can have a substantial impact on the biology and life cycle of their host. The checkerboard DNA-DNA hybridization technique is a semi-quantitative technique that has been previously employed in odontology to detect and quantify a variety of bacterial species in dental samples. Here we tested the applicability of the checkerboard DNA-DNA hybridization technique to detect the presence of Aedes aegypti-associated bacterial species in larvae, pupae and adults of A. aegypti. Findings. Using the checkerboard DNA-DNA hybridization technique we could detect and estimate the number of four bacterial species in total DNA samples extracted from A. aegypti single whole individuals and midguts. A. aegypti associated bacterial species were also detected in the midgut of four other insect species, Lutzomyia longipalpis, Drosophila melanogaster, Bradysia hygida and Apis mellifera. Conclusions: Our results demonstrate that the checkerboard DNA-DNA hybridization technique can be employed to study the microbiota composition of mosquitoes. The method has the sensitivity to detect bacteria in single individuals, as well as in a single organ, and therefore can be employed to evaluate the differences in bacterial counts amongst individuals in a given mosquito population. We suggest that the checkerboard DNA-DNA hybridization technique is a straightforward technique that can be widely used for the characterization of the microbiota in mosquito populations. © 2011 Gaio et al; licensee BioMed Central Ltd.","Aedes aegypti; bacteria; Checkerboard DNA-DNA hybridization",Article,,Scopus,2-s2.0-83655181473
"Tunca R.I., Kence M.","Genetic diversity of honey bee (Apis mellifera L.: Hymenoptera: Apidae) populations in Turkey revealed by RAPD markers",2011,"African Journal of Agricultural Research","6","29",,"6217","6225",,2,10.5897/AJAR10.386,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-83455223471&doi=10.5897%2fAJAR10.386&partnerID=40&md5=9dffe9e10d82370a709d62807f2702ad","Department of Agricultural Biotechnology, Agriculture Faculty, Ahi Evran University, 40100 Kirsehir, Turkey; Department of Biology, Middle East Technical University, 06531 Ankara, Turkey","Tunca, R.I., Department of Agricultural Biotechnology, Agriculture Faculty, Ahi Evran University, 40100 Kirsehir, Turkey; Kence, M., Department of Biology, Middle East Technical University, 06531 Ankara, Turkey","The honeybee, Apis mellifera L. is an ecologically and economically important insect species. Recent honey bee losses causing decline of bee diversity is found alarming for the pollination of both wild plant biodiversity and crop production. Therefore, determination of genetic diversity of honey bee populations is essential and will provide a valuable resource for conservation purposes. Twenty Random Amplified Polymorphic DNA (RAPD) primers were used to assess the genetic diversity in 720 worker bees collected from 360 colonies of 25 provinces in Turkey. Ten out of twenty primers produced 105 reproducible, bright bands, all were polymorphic. Mean genetic diversity values ranged between 0.035 and 0.175, coefficient of gene differentiation (GST) values were estimated as 0.060 to 0.441, and the private band patterns reflected a high level of genetic variation. Analysis of Molecular Variance (AMOVA) partitioned the total genetic variation as 60% within, 40% among populations. The Mantel test did not reveal significant correlation between the genetic and geographic distances. First three Eigen values of principle coordinate analysis explained 63% of total variation, 27, 21, and 15% for the first, second and third respectively. The cluster analysis showed that the honey bees of Thrace region of Turkey and an island at a short distance were clustered together. The other two populations from southeastern Anatolia which belong to African lineage according to mitochondrial DNA analysis formed a separate cluster and rest of the populations which belong to north Mediterranean branch (C lineage) formed the third cluster. The results showed that genetic variability of honey bee populations from Turkey are determined using RAPD markers and provide information for future management and conservation plans. © 2011 Academic Journals.","Apis mellifera; Genetic diversity; Honeybee; RAPD markers; Turkey",Article,,Scopus,2-s2.0-83455223471
"Hendriksma H.P., Härtel S., Steffan-Dewenter I.","Testing pollen of single and stacked insect-resistant bt-maize on In Vitro reared honey bee larvae",2011,"PLoS ONE","6","12", e28174,"","",,31,10.1371/journal.pone.0028174,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-83455238797&doi=10.1371%2fjournal.pone.0028174&partnerID=40&md5=49eec779363ea0efcf78671ce2608886","Department of Animal Ecology and Tropical Biology, Biocentre, University of Würzburg, Würzburg, Germany","Hendriksma, H.P., Department of Animal Ecology and Tropical Biology, Biocentre, University of Würzburg, Würzburg, Germany; Härtel, S., Department of Animal Ecology and Tropical Biology, Biocentre, University of Würzburg, Würzburg, Germany; Steffan-Dewenter, I., Department of Animal Ecology and Tropical Biology, Biocentre, University of Würzburg, Würzburg, Germany","The ecologically and economic important honey bee (Apis mellifera) is a key non-target arthropod species in environmental risk assessment (ERA) of genetically modified (GM) crops. Honey bee larvae are directly exposed to transgenic products by the consumption of GM pollen. But most ERA studies only consider responses of adult bees, although Bt-proteins primarily affect the larval phases of target organisms. We adopted an in vitro larvae rearing system, to assess lethal and sublethal effects of Bt-pollen consumption in a standardized eco-toxicological bioassay. The effects of pollen from two Bt-maize cultivars, one expressing a single and the other a total of three Bt-proteins, on the survival and prepupae weight of honey bee larvae were analyzed. The control treatments included pollen from three non-transgenic maize varieties and of Heliconia rostrata. Three days old larvae were fed the realistic exposure dose of 2 mg pollen within the semi-artificial diet. The larvae were monitored over 120 h, until the prepupal stage, where larvae terminate feeding and growing. Neither single nor stacked Bt-maize pollen showed an adverse effect on larval survival and the prepupal weight. In contrast, feeding of H. rostrata pollen caused significant toxic effects. The results of this study indicate that pollen of the tested Bt-varieties does not harm the development of in vitro reared A. mellifera larvae. To sustain the ecosystem service of pollination, Bt-impact on A. mellifera should always be a crucial part of regulatory biosafety assessments. We suggest that our approach of feeding GM pollen on in vitro reared honey bee larvae is well suited of becoming a standard bioassay in regulatory risk assessments schemes of GM crops. © 2011 Hendriksma et al.",,Article,Open Access,Scopus,2-s2.0-83455238797
"Pasch E., Muenz T.S., Rössler W.","CaMKII is differentially localized in synaptic regions of kenyon cells within the mushroom bodies of the honeybee brain",2011,"Journal of Comparative Neurology","519","18",,"3700","3712",,20,10.1002/cne.22683,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054700131&doi=10.1002%2fcne.22683&partnerID=40&md5=52c8e26546d3cc580895ec65bb4762ed","Department of Behavioral Physiology and Sociobiology, Biozentrum, University of Würzburg, Würzburg, 97074, Germany","Pasch, E., Department of Behavioral Physiology and Sociobiology, Biozentrum, University of Würzburg, Würzburg, 97074, Germany; Muenz, T.S., Department of Behavioral Physiology and Sociobiology, Biozentrum, University of Würzburg, Würzburg, 97074, Germany; Rössler, W., Department of Behavioral Physiology and Sociobiology, Biozentrum, University of Würzburg, Würzburg, 97074, Germany","Calcium/calmodulin-dependent protein kinase II (CaMKII) has been linked to neuronal plasticity associated with long-term potentiation as well as structural synaptic plasticity. Previous work in adult honeybees has shown that a single CaMKII gene is strongly expressed in the mushroom bodies (MBs), brain centers associated with sensory integration, and learning and memory formation. To study a potential role of CaMKII in synaptic plasticity, the cellular and subcellular distribution of activated (phosphorylated) pCaMKII protein was investigated at various life stages of the honeybee using immunocytochemistry, confocal microscopy, and western blot analyses. Whereas at pupal stages 3-4 most parts of the brain showed high levels of pCaMKII immunoreactivity, the protein was predominantly concentrated in the MBs in the adult brain. The results show that pCaMKII is present in a specific subpopulation of Kenyon cells, the noncompact cells. Within the olfactory (lip) and visual (collar) subregion of the MB calyx neuropil pCaMKII was colocalized with f-actin in postsynaptic compartments of microglomeruli, indicating that it is enriched in Kenyon cell dendritic spines. This suggests a potential role of CaMKII in Kenyon cell dendritic plasticity. Interestingly, pCaMKII protein was absent in two other types of Kenyon cells, the inner compact cells associated with the multimodal basal ring and the outer compact cells. During adult behavioral maturation from nurse bees to foragers, pCaMKII distribution remained essentially similar at the qualitative level, suggesting a potential role in dendritic plasticity of Kenyon cells throughout the entire life span of a worker bee. © 2011 Wiley-Liss, Inc.","Apis mellifera; Calcium/calmodulin dependent protein kinase II; Learning and memory; Microglomeruli; Olfactory; Synaptic plasticity",Article,,Scopus,2-s2.0-80054700131
"Li Z.-W., Shen Y.-H., Xiang Z.-H., Zhang Z.","Pathogen-origin horizontally transferred genes contribute to the evolution of Lepidopteran insects",2011,"BMC Evolutionary Biology","11","1", 356,"","",,20,10.1186/1471-2148-11-356,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-83155163802&doi=10.1186%2f1471-2148-11-356&partnerID=40&md5=0080adce4aeb36cee044739bb7e149fd","Key Sericultural Laboratory of Agricultural Ministry, Southwest University, Chongqing 400715, China; Institute of Agricultural and Life Sciences, Chongqing University, Chongqing 400044, China","Li, Z.-W., Key Sericultural Laboratory of Agricultural Ministry, Southwest University, Chongqing 400715, China; Shen, Y.-H., Key Sericultural Laboratory of Agricultural Ministry, Southwest University, Chongqing 400715, China; Xiang, Z.-H., Key Sericultural Laboratory of Agricultural Ministry, Southwest University, Chongqing 400715, China; Zhang, Z., Key Sericultural Laboratory of Agricultural Ministry, Southwest University, Chongqing 400715, China, Institute of Agricultural and Life Sciences, Chongqing University, Chongqing 400044, China","Background: Horizontal gene transfer (HGT), a source of genetic variation, is generally considered to facilitate hosts' adaptability to environments. However, convincing evidence supporting the significant contribution of the transferred genes to the evolution of metazoan recipients is rare. Results: In this study, based on sequence data accumulated to date, we used a unified method consisting of similarity search and phylogenetic analysis to detect horizontally transferred genes (HTGs) between prokaryotes and five insect species including Drosophila melanogaster, Anopheles gambiae, Bombyx mori, Tribolium castaneum and Apis mellifera. Unexpectedly, the candidate HTGs were not detected in D. melanogaster, An. gambiae and T. castaneum, and 79 genes in Ap. mellifera sieved by the same method were considered as contamination based on other information. Consequently, 14 types of 22 HTGs were detected only in the silkworm. Additionally, 13 types of the detected silkworm HTGs share homologous sequences in species of other Lepidopteran superfamilies, suggesting that the majority of these HTGs were derived from ancient transfer events before the radiation of Ditrysia clade. On the basis of phylogenetic topologies and BLAST search results, donor bacteria of these genes were inferred, respectively. At least half of the predicted donor organisms may be entomopathogenic bacteria. The predicted biochemical functions of these genes include four categories: glycosyl hydrolase family, oxidoreductase family, amino acid metabolism, and others. Conclusions: The products of HTGs detected in this study may take part in comprehensive physiological metabolism. These genes potentially contributed to functional innovation and adaptability of Lepidopteran hosts in their ancient lineages associated with the diversification of angiosperms. Importantly, our results imply that pathogens may be advantageous to the subsistence and prosperity of hosts through effective HGT events at a large evolutionary scale. © 2011 Li et al; licensee BioMed Central Ltd.","Functional innovation; Horizontal gene transfer; Insect evolution; Lepidoptera evolution; Pathogenic bacteria",Article,,Scopus,2-s2.0-83155163802
"Sandoz J.C.","Behavioral and neurophysiological study of olfactory perception and learning in honeybees",2011,"Frontiers in Systems Neuroscience",,"DECEMBER 2011", 98,"","",,53,10.3389/fnsys.2011.00098,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856167100&doi=10.3389%2ffnsys.2011.00098&partnerID=40&md5=e914efec9477d33ead8f7f341c44391f","Evolution, Genomes and Speciation Lab, Centre National de la Recherche Scientifique, 1 Avenue de la Terrasse, 91198 Gif-sur-Yvette, France","Sandoz, J.C., Evolution, Genomes and Speciation Lab, Centre National de la Recherche Scientifique, 1 Avenue de la Terrasse, 91198 Gif-sur-Yvette, France","The honeybee Apis mellifera has been a central insect model in the study of olfactory perception and learning for more than a century, starting with pioneer work by Karl von Frisch. Research on olfaction in honeybees has greatly benefited from the advent of a range of behavioral and neurophysiological paradigms in the Lab. Here I review major findings about how the honeybee brain detects, processes, and learns odors, based on behavioral, neuroanatomical, and neurophysiological approaches. I first address the behavioral study of olfactory learning, from experiments on free-flying workers visiting artificial flowers to laboratory-based conditioning protocols on restrained individuals. I explain how the study of olfactory learning has allowed understanding the discrimination and generalization ability of the honeybee olfactory system, its capacity to grant special properties to olfactory mixtures as well as to retain individual component information. Next, based on the impressive amount of anatomical and immunochemical studies of the bee brain, I detail our knowledge of olfactory pathways. I then show how functional recordings of odor-evoked activity in the brain allow following the transformation of the olfactory message from the periphery until higher-order central structures. Data from extra- and intracellular electrophysiological approaches as well as from the most recent optical imaging developments are described. Lastly, I discuss results addressing how odor representation changes as a result of experience. This impressive ensemble of behavioral, neuroanatomical, and neurophysiological data available inthe bee make it anattractive model for future research aiming to understand olfactory perception and learning in an integrative fashion. © 2011 Sandoz.","Appetitive learning; Brain circuits; Electrophysiology; Insect; Neural processing; Olfaction; Optical imaging; Perception",Review,,Scopus,2-s2.0-84856167100
"Gende L., Satta A., Ligios V., Ruiu L., Buffa F., Fernandez N., Churio S., Eguaras M., Fiori M., Floris I.","Searching for an American foulbrood early detection threshold by the determination of paenibacillus larvae spore load in worker honey bees",2011,"Bulletin of Insectology","64","2",,"229","233",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82355171072&partnerID=40&md5=56f7b616a1a6de312a4f0d406dd6d281","Departamento de Biología, Universidad Nacional de Mar del Plata, Argentina; Departamento de Química, Universidad Nacional de Mar del Plata, Dean Funes 3350, 7600 Mar del Plata, Argentina; CONICET, Comisión Nacional de Investigaciones Científicas y Técnicas, Argentina; Dipartimento Protezione Piante, Università degli Studi di Sassari, via E. De Nicola, 07100 Sassari, Italy","Gende, L., Departamento de Biología, Universidad Nacional de Mar del Plata, Argentina, Departamento de Química, Universidad Nacional de Mar del Plata, Dean Funes 3350, 7600 Mar del Plata, Argentina, CONICET, Comisión Nacional de Investigaciones Científicas y Técnicas, Argentina; Satta, A., Dipartimento Protezione Piante, Università degli Studi di Sassari, via E. De Nicola, 07100 Sassari, Italy; Ligios, V., Dipartimento Protezione Piante, Università degli Studi di Sassari, via E. De Nicola, 07100 Sassari, Italy; Ruiu, L., Dipartimento Protezione Piante, Università degli Studi di Sassari, via E. De Nicola, 07100 Sassari, Italy; Buffa, F., Dipartimento Protezione Piante, Università degli Studi di Sassari, via E. De Nicola, 07100 Sassari, Italy; Fernandez, N., Departamento de Biología, Universidad Nacional de Mar del Plata, Argentina, CONICET, Comisión Nacional de Investigaciones Científicas y Técnicas, Argentina; Churio, S., Departamento de Química, Universidad Nacional de Mar del Plata, Dean Funes 3350, 7600 Mar del Plata, Argentina, CONICET, Comisión Nacional de Investigaciones Científicas y Técnicas, Argentina; Eguaras, M., Departamento de Biología, Universidad Nacional de Mar del Plata, Argentina, CONICET, Comisión Nacional de Investigaciones Científicas y Técnicas, Argentina; Fiori, M., Dipartimento Protezione Piante, Università degli Studi di Sassari, via E. De Nicola, 07100 Sassari, Italy; Floris, I., Dipartimento Protezione Piante, Università degli Studi di Sassari, via E. De Nicola, 07100 Sassari, Italy","In the present study, the relationship between Paenibacillus larvae (White) spore load per adult bee and the appearance of American Foulbrood (AFB) symptoms in the colony was investigated. A total of 44 beehives from 8 apiaries located in Sardinia island (Italy) were involved in this research. Adult bee samples were collected from colonies either showing or lacking the disease symptoms, and the average number of P. larvae spores per adult bee was determined through microbiological culture, followed by bacterial identification through a combination of morphological, biochemical and genetic assays. Correspondence between the detection of disease symptoms in the hives and the number of spores per adult bee samples was obtained. In line with previous studies, the outcome of the present investigation supports the employment of adult bee spore load determination as a tool to get information on the actual health status of the colony. This allows an early detection of AFB disease, especially when clinical symptoms in colonies are still not observable. In addition, the results suggest that a level around 3,000 P. larvae spores per adult bee, obtained with our experimental conditions, might represent a threshold for the appearance of clinical symptoms in the colony.","Adult honey bees; American foulbrood; Apis mellifera ligustica; Diagnosis; Spore load",Article,,Scopus,2-s2.0-82355171072
"Kozmus P.","Population of Carniolan bees (Apis mellifera carnica Pollman) in Slovenia and its hybridization with other subspecies based on colour of abdomen [Ugotavljanje stopnje hibridizacije populacije kranjske čebele (Apis mellifera carnica Pollman) v Sloveniji na podlagi obarvanosti obročkov na zadku]",2011,"Acta Agriculturae Slovenica","98","2",,"159","166",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855254540&partnerID=40&md5=fbb4a1d924d135b7b94a13d20eff58e8","Kmetijski inštitut Slovenije, Hacquetova ulica 17, SI-1000 Ljubljana, Slovenia","Kozmus, P., Kmetijski inštitut Slovenije, Hacquetova ulica 17, SI-1000 Ljubljana, Slovenia","In Slovenia Carniolan honeybee (Apis mellifera carnica Pollman 1879) is an autochthonous and protected honeybee subspecies. Based on morphological characteristics A. m. carnica belongs to the southeast European group of honeybees and is the second most widely spread honeybee subspecies in the world. Slovenia is the origin country of A. m. carnica and its conservation is stipulated by law In the last few years more honeybees with yellow bands on the abdomen were seen in the population of A. m. carnica in Slovenia. These characteristics are the result of hybridization with other honeybee subspecies. Apis m. carnica is nowadays to a large extent influenced by beekeeping activities (trade with bee colonies and queens, migratory beekeeping) and also natural conditions and hybridization in the zones of natural hybridization. To find out the percentage of hybrid honeybees in the population of A. m. carnica in Slovenia, a morphological investigation based on the colour of bands on the worker abdomen was made. We found the highest percentages of honeybees with yellow bands in the West part of Slovenia near the border with Italia (Obalno Kraška and Goriška region) but also in the Koroška region. On average 5.6% honeybees in the population of A. m. carnica in Slovenia have yellow bands. Further hybridization of A. m. carnica with other honeybee subspecies could led to loss of morphological, ethological and genetic characteristics of A. m. carnica population in Slovenia.","Abdomen; Apis mellifera carnica; Bees; Carniolan bee; Colour; Hybridization; Slovenia; Subspecies",Article,,Scopus,2-s2.0-84855254540
"Alqarni A.S., Hannan M.A., Owayss A.A., Engel M.S.","The indigenous honey bees of Saudi Arabia (Hymenoptera, Apidae, Apis mellifera jemenitica Ruttner): Their natural history and role in beekeeping",2011,"ZooKeys","134",,,"83","98",,24,10.3897/zookeys.134.1677,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856442860&doi=10.3897%2fzookeys.134.1677&partnerID=40&md5=744735330d54a294372e2c93ad53e72f","Department of Plant Protection, College of Food and Agriculture Sciences, King Saud University, PO Box 2460, Riyadh 11451 KSA, United States; Department of Environmental Sciences, University of Guelph, Guelph, ON, N1G 2W1, Canada; Division of Entomology, Natural History Museum, and Department of Ecology and Evolutionary Biology, University of Kansas, 1501 Crestline Drive - Suite 140, Lawrence, KS 66049-2811, United States; Division of Invertebrate Zoology, American Museum of Natural History, Central Park West at 79th, New York 10024-5192, United States","Alqarni, A.S., Department of Plant Protection, College of Food and Agriculture Sciences, King Saud University, PO Box 2460, Riyadh 11451 KSA, United States; Hannan, M.A., Department of Environmental Sciences, University of Guelph, Guelph, ON, N1G 2W1, Canada; Owayss, A.A., Department of Plant Protection, College of Food and Agriculture Sciences, King Saud University, PO Box 2460, Riyadh 11451 KSA, United States; Engel, M.S., Department of Plant Protection, College of Food and Agriculture Sciences, King Saud University, PO Box 2460, Riyadh 11451 KSA, United States, Division of Entomology, Natural History Museum, and Department of Ecology and Evolutionary Biology, University of Kansas, 1501 Crestline Drive - Suite 140, Lawrence, KS 66049-2811, United States, Division of Invertebrate Zoology, American Museum of Natural History, Central Park West at 79th, New York 10024-5192, United States","Apis mellifera jemenitica Ruttner (= yemenitica auctorum: vide Engel 1999) has been used in apiculture throughout the Arabian Peninsula since at least 2000 BC. Existing literature demonstrates that these populations are well adapted for the harsh extremes of the region. Populations of A. m. jemenitica native to Saudi Arabia are far more heat tolerant than the standard races often imported from Europe. Central Saudi Arabia has the highest summer temperatures for the Arabian Peninsula, and it is in this region where only A. m. jemenitica survives, while other subspecies fail to persist. The indigenous race of Saudi Arabia differs from other subspecies in the region in some morphological, biological, and behavioral characteristics. Further taxonomic investigation, as well as molecular studies, is needed in order to confirm whether the Saudi indigenous bee populations represent a race distinct from A. m. jemenitica, or merely an ecotype of this subspecies. © A.S. Alqarni et al.","Anthophila; Apidae; Apis mellifera jemenitica; Apoidea; Arabian peninsula; Beekeeping; Indigenous honey bee race; Morphology; Natural history; Saudi arabia",Article,Open Access,Scopus,2-s2.0-84856442860
"Pereira D.S., Sousa R.M., Maracajá P.B., Da Silveira Neto A.A., Sakamoto S.M., De Oliveira A.M.","Nectar production of Merremia aegyptia and behavior of Apis mellifera spp. during foraging [Produção de néctar da merremia aegyptia e comportamento da apis mellifera spp durante o forrageamento]",2011,"Acta Veterinaria Brasilica","5","2",,"168","177",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861091549&partnerID=40&md5=e0a3b48dab6e3597a0aeef873e876bf6","Instituto AGROPOLOS, Setor de Apicultura e Meliponicultura, Fortaleza, CE, Brazil; Instituto Federal de Educação, Ciência e Tecnologia, Limoeiro do Norte, CE, Brazil; Departamento de Ciências Vegetais, Universidade Federal de Campina Grande (UFCG), Pombal, PB, Brazil; Instituto Centro de Ensino Tecnológico, Quixeramobim, CE, Brazil; Departamento de Ciência Animal, Universidade Federal Rural Do Semi-Árido (UFERSA), Mossoró, RN, Brazil; Departamento de Gestão Ambiental, Universidade Do Estado Do Rio Grande Do Norte (UERN), Mossoró, RN, Brazil","Pereira, D.S., Instituto AGROPOLOS, Setor de Apicultura e Meliponicultura, Fortaleza, CE, Brazil; Sousa, R.M., Instituto Federal de Educação, Ciência e Tecnologia, Limoeiro do Norte, CE, Brazil; Maracajá, P.B., Departamento de Ciências Vegetais, Universidade Federal de Campina Grande (UFCG), Pombal, PB, Brazil; Da Silveira Neto, A.A., Instituto Centro de Ensino Tecnológico, Quixeramobim, CE, Brazil; Sakamoto, S.M., Departamento de Ciência Animal, Universidade Federal Rural Do Semi-Árido (UFERSA), Mossoró, RN, Brazil; De Oliveira, A.M., Departamento de Gestão Ambiental, Universidade Do Estado Do Rio Grande Do Norte (UERN), Mossoró, RN, Brazil","The objective of this study was to investigate whether the different time of collection of nectar in hive areas influence the volume, the concentration of sugar and total amount of sugar produced by all its flowers at the time of anthesis, as well as evaluating possible changes in the characteristics of nectar along the time and discuss the beekeeping potential of areas containing ""jitirana-branca"" (Merremia aegyptia). It was also evaluated the relationship between the generation of floral attractive and the behavior of potential pollinators, including Apis mellifera L. (Africanized honeybee). The study was conducted in a preservation area of Caatinga, at the campus of FATEC, Quixeramobim, CE, Brazil. It was found that: the mean floral density of M. aegyptia was 33.7 flowers/m2; the volume of nectar was affected by the time of collection and no more nectar is secreted by the flowers after 11:00 AM.","Africanized honeybee; Caatinga; Merremia aegyptia; Sugars",Article,,Scopus,2-s2.0-84861091549
