Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Morzycka B.","Simple method for the determination of trace levels of pesticides in honeybees using matrix solid-phase dispersion and gas chromatography",2002,"Journal of Chromatography A","982","2",,"267","273",,70,10.1016/S0021-9673(02)01505-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037184660&doi=10.1016%2fS0021-9673%2802%2901505-4&partnerID=40&md5=2f7aa96a33ab1c0010adaf0f992aba28","Plant Protection Institute In Poznan, Experimental Field Station In Bialystok, ul. Chelmonskiego 22, 15-195 Bialystok, Poland","Morzycka, B., Plant Protection Institute In Poznan, Experimental Field Station In Bialystok, ul. Chelmonskiego 22, 15-195 Bialystok, Poland","A simple multiresidue method for the determination of insecticides in honeybees is described. The developed method is based on the matrix solid-phase dispersion technique. A total number of 12 insecticides (azinfos-methyl, buprofezin, chlorpyriphos, chlorpyriphos-methyl, diazinon, ethion, fenitrothion, fipronil, methidathion, phosalone, pirimicarb, propoxur) used on flowering fields are determined by this method. The method uses Florisil and silica as dispersing agents, alumina and silica as cleanup adsorbents and a low polarity solvent system to elute pesticide residues from the honeybee samples. The insecticides were quantified using capillary gas chromatography with a nitrogen-phosphorus detector. The method has shown good recovery (70-110%) for various levels of spiked samples (0.01-1.0 mg/kg). The relative standard deviations were in the range of 2-8% for all pesticides studied. The limits of detection were in the range of 0.005-0.05 mg/kg. The procedure can be applied for the determination of residues of low-polarity and medium polarity pesticides in honeybee samples. © 2002 Elsevier Science B.V. All rights reserved.","Extraction methods; Honeybees; Matrix solid-phase dispersion; Pesticides",Article,,Scopus,2-s2.0-0037184660
"Kremen C., Williams N.M., Thorp R.W.","Crop pollination from native bees at risk from agricultural intensification",2002,"Proceedings of the National Academy of Sciences of the United States of America","99","26",,"16812","16816",,751,10.1073/pnas.262413599,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037168514&doi=10.1073%2fpnas.262413599&partnerID=40&md5=6c8436b271f475d6ddf428f7b04957dd","Department of Ecology, Guyot Hall, Princeton University, Princeton, NJ 08544, United States; Department of Entomology, University of California, 1 Shields Avenue, Davis, CA 95616, United States","Kremen, C., Department of Ecology, Guyot Hall, Princeton University, Princeton, NJ 08544, United States; Williams, N.M., Department of Ecology, Guyot Hall, Princeton University, Princeton, NJ 08544, United States; Thorp, R.W., Department of Entomology, University of California, 1 Shields Avenue, Davis, CA 95616, United States","Ecosystem services are critical to human survival; in selected cases, maintaining these services provides a powerful argument for conserving biodiversity. Yet, the ecological and economic underpinnings of most services are poorly understood, impeding their conservation and management. For centuries, farmers have imported colonies of European honey bees (Apis mellifera) to fields and orchards for pollination services. These colonies are becoming increasingly scarce, however, because of diseases, pesticides, and other impacts. Native bee communities also provide pollination services, but the amount they provide and how this varies with land management practices are unknown. Here, we document the individual species and aggregate community contributions of native bees to crop pollination, on farms that varied both in their proximity to natural habitat and management type (organic versus conventional). On organic farms near natural habitat, we found that native bee communities could provide full pollination services even for a crop with heavy pollination requirements (e.g., watermelon, Citrullus lanatus), without the intervention of managed honey bees. All other farms, however, experienced greatly reduced diversity and abundance of native bees, resulting in insufficient pollination services from native bees alone. We found that diversity was essential for sustaining the service, because of year-toyear variation in community composition. Continued degradation of the agro-natural landscape will destroy this ""free"" service, but conservation and restoration of bee habitat are potentially viable economic alternatives for reducing dependence on managed honey bees.","Agriculture; Biodiversity; Ecosystem service; Native bee Apis mellifera",Article,,Scopus,2-s2.0-0037168514
"Sole C.L., Kryger P., Hefetz A., Katzav-Gozansky T., Crewe R.M.","Mimicry of queen Dufour's gland secretions by workers of Apis mellifera scutellata and A. m. capensis",2002,"Naturwissenschaften","89","12",,"561","564",,17,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036963862&partnerID=40&md5=797f41d06fabecdec7aa537974bc3a3a","Department of Zoology and Entomology, University of Pretoria, 0002 Pretoria, South Africa; Department of Zoology, George S. Wise Fac. of Life Sciences, Tel Aviv University, Ramat Aviv, Israel","Sole, C.L., Department of Zoology and Entomology, University of Pretoria, 0002 Pretoria, South Africa; Kryger, P., Department of Zoology and Entomology, University of Pretoria, 0002 Pretoria, South Africa; Hefetz, A., Department of Zoology, George S. Wise Fac. of Life Sciences, Tel Aviv University, Ramat Aviv, Israel; Katzav-Gozansky, T., Department of Zoology, George S. Wise Fac. of Life Sciences, Tel Aviv University, Ramat Aviv, Israel; Crewe, R.M., Department of Zoology and Entomology, University of Pretoria, 0002 Pretoria, South Africa","The development of the Dufour's gland of workers of the two honey bee races Apis mellifera scutellata and A. m. capensis was measured. The Dufour's glands of A. m. capensis workers were longer and increased in length more rapidly than the glands of workers of A. m. scutellata at comparable ages. Analysis of the Dufour' s gland secretions of workers and queens of both races revealed that there were caste and racial differences. Secretions of queenright A. m. scutellata workers were dominated by a series of long-chain hydrocarbons. In contrast the secretions of the A. m. capensis workers both under queenright and queenless conditions were a mixture of hydrocarbons and wax-type esters, as were those of queens. Multivariate analysis of the secretion profiles indicated that laying workers of both races mimic queens. The secretions of the A. m. capensis laying workers mimicked queen secretions most closely, enabling them to act as successful social parasites.",,Article,,Scopus,2-s2.0-0036963862
"El Shafie H.A.F., Mogga J.B.B., Basedow Th.","Studies on the possible competition for pollen between the honey bee, Apis mellifera sudanensis, and the imported dwarf honey bee Apis florea (Hym., Apidae) in North-Khartoum (Sudan)",2002,"Journal of Applied Entomology","126","10",,"557","562",,20,10.1046/j.1439-0418.2002.00711.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036949370&doi=10.1046%2fj.1439-0418.2002.00711.x&partnerID=40&md5=601633b9fcbcac2095323db520009cad","Department of Crop Protection, University of Khartoum, Khartoum, Sudan; Inst. of Phytopathology/Appl. Zool., Experimental Station, Justus-Liebig-University, Giessen, Germany; Inst. of Phytopathology/Appl. Zool., Experimental Station, Alter Steinbacher Weg 44, D-35394 Gießen, Germany","El Shafie, H.A.F., Department of Crop Protection, University of Khartoum, Khartoum, Sudan, Inst. of Phytopathology/Appl. Zool., Experimental Station, Justus-Liebig-University, Giessen, Germany; Mogga, J.B.B., Department of Crop Protection, University of Khartoum, Khartoum, Sudan; Basedow, Th., Inst. of Phytopathology/Appl. Zool., Experimental Station, Justus-Liebig-University, Giessen, Germany, Inst. of Phytopathology/Appl. Zool., Experimental Station, Alter Steinbacher Weg 44, D-35394 Gießen, Germany","Based on identification of collected pollen, in the area of North Khartoum, 21 plant genera (ca. 21 spp.) proved to be the main pollen sources for the honey bee Apis mellifera sudanensis. The imported dwarf honey bee Apis florea exploited 11 of these. The main pollen flow in the study area occurred between early December and late March. This is reflected by the amount of pollen collected by colonies of A. mellifera sudanensis. In spite of observations conducted soon after the introduction of A. florea, which gave hints of competition between the two bee species, further studies showed that A. mellifera sudanensis and A. florea do seem to coexist. This coexistence is based on different daily rhythms of pollen collection. A. mellifera collected pollen of Acacia seyal, date palm, and onions early in the morning (and partly in the late afternoon), while A. florea started pollen collection mostly later in the morning and ended it earlier in the afternoon. But in contrast to A. mellifera, A. florea was collecting pollen all day without interruption, even at very high air temperatures. Niche overlap (concerning the times of visits to flowers) between the two bee species was very low in date palms, and of medium importance in Acacia seyal. But it is remarkable that in total, A. florea is always present in higher numbers than A. mellifera sudanensis, on flowers. The significance of the introduction of A. florea to Sudan for pollination is discussed.",,Article,,Scopus,2-s2.0-0036949370
"Medina L.M., Martin S.J., Espinosa-Montaño L., Ratnieks F.L.W.","Reproduction of Varroa destructor in worker brood of Africanized honey bees (Apis mellifera)",2002,"Experimental and Applied Acarology","27","1-2",,"79","88",,17,10.1023/A:1021579113907,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036969974&doi=10.1023%2fA%3a1021579113907&partnerID=40&md5=f6238bc3764d3b9450680ce0da3f502a","Departamento de Apicultura, Facultad de Med. Vet. y Zootecnia, Universidad Autonoma de Yucatan, Apartado Postal 4-116, C.P. 97100 Merida, Yucatan, Mexico; Laboratory of Apiculture/Social I., Dept. of Animal and Plant Sciences, University of Sheffield, Western Bank, Sheffield S10 2TN, United Kingdom; Facultad de Med. Vet. y Zootecnia, Univ. Nac. Auton. de Mexico, Circuito Exterior Cd. Universitaria, C.P. 04510, D.F. México, Mexico","Medina, L.M., Departamento de Apicultura, Facultad de Med. Vet. y Zootecnia, Universidad Autonoma de Yucatan, Apartado Postal 4-116, C.P. 97100 Merida, Yucatan, Mexico, Laboratory of Apiculture/Social I., Dept. of Animal and Plant Sciences, University of Sheffield, Western Bank, Sheffield S10 2TN, United Kingdom; Martin, S.J., Laboratory of Apiculture/Social I., Dept. of Animal and Plant Sciences, University of Sheffield, Western Bank, Sheffield S10 2TN, United Kingdom; Espinosa-Montaño, L., Facultad de Med. Vet. y Zootecnia, Univ. Nac. Auton. de Mexico, Circuito Exterior Cd. Universitaria, C.P. 04510, D.F. México, Mexico; Ratnieks, F.L.W., Laboratory of Apiculture/Social I., Dept. of Animal and Plant Sciences, University of Sheffield, Western Bank, Sheffield S10 2TN, United Kingdom","Reproduction and population growth of Varroa destructor was studied in ten naturally infested, Africanized honey bee (AHB) (Apis mellifera) colonies in Yucatan, Mexico. Between February 1997 and January 1998 monthly records of the amount of pollen, honey, sealed worker and drone brood were recorded. In addition, mite infestation levels of adult bees and worker brood and the fecundity of the mites reproducing in worker cells were determined. The mean number of sealed worker brood cells (10,070 ± 1,790) remained fairly constant over the experimental period in each colony. However, the presence and amount of sealed drone brood was very variable. One colony had drone brood for 10 months and another for only 1 month. Both the mean infestation level of worker brood (18.1 ± 8.4%) and adult bees (3.5 ± 1.3%) remained fairly constant over the study period and did not increase rapidly as is normally observed in European honey bees. In fact, the estimated mean number of mites fell from 3,500 in February 1997 to 2,380 in January 1998. In May 2000 the mean mite population in the study colonies was still only 1,821 mites. The fertility level of mites in this study was much higher (83-96%) than in AHB in Brazil (25-57%), and similar to that found in EHB (76-94%). Mite fertility remained high throughout the entire study and was not influenced by the amount of pollen, honey or worker brood in the colonies.","Africanized bees; Apis mellifera; Mexico; Reproduction; Tolerance; Varroa destructor",Article,,Scopus,2-s2.0-0036969974
"Tomkins J.P., Luo M., Fang G.C., Main D., Goicoechea J.L., Atkins M., Frisch D.A., Page R.E., Guzmán-Novoa E., Yu Y., Hunt G., Wing R.A.","New genomic resources for the honey bee (Apis mellifera L.): Development of a deep-coverage BAC library and a preliminary STC database",2002,"Genetics and Molecular Research","1","4",,"306","316",,12,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346445383&partnerID=40&md5=7e3aa7409779f4d38237b6290a2522e0","Clemson Univ. Genomics Institute, Jordan Hall, Clemson, SC 29634, United States; Arizona Genomics Institute, 303 Forbes Hall, Tucson, AZ 85721, United States; Genome Center of Wisconsin, 445 Henry Mall, Genetics Building B19, Madison, WI 53706, United States; Department of Entomology, University of California, Davis, CA 95616, United States; INIFAP/SAGAR, 29B Santa Cruz, Metepéc, 52140, Edo. de Mex., Mexico; Department of Entomology, Purdue University, 1158 Smith Hall, West Lafayette, IN 47907, United States","Tomkins, J.P., Clemson Univ. Genomics Institute, Jordan Hall, Clemson, SC 29634, United States; Luo, M., Arizona Genomics Institute, 303 Forbes Hall, Tucson, AZ 85721, United States; Fang, G.C., Clemson Univ. Genomics Institute, Jordan Hall, Clemson, SC 29634, United States; Main, D., Clemson Univ. Genomics Institute, Jordan Hall, Clemson, SC 29634, United States; Goicoechea, J.L., Arizona Genomics Institute, 303 Forbes Hall, Tucson, AZ 85721, United States; Atkins, M., Clemson Univ. Genomics Institute, Jordan Hall, Clemson, SC 29634, United States; Frisch, D.A., Genome Center of Wisconsin, 445 Henry Mall, Genetics Building B19, Madison, WI 53706, United States; Page, R.E., Department of Entomology, University of California, Davis, CA 95616, United States; Guzmán-Novoa, E., INIFAP/SAGAR, 29B Santa Cruz, Metepéc, 52140, Edo. de Mex., Mexico; Yu, Y., Arizona Genomics Institute, 303 Forbes Hall, Tucson, AZ 85721, United States; Hunt, G., Department of Entomology, Purdue University, 1158 Smith Hall, West Lafayette, IN 47907, United States; Wing, R.A., Arizona Genomics Institute, 303 Forbes Hall, Tucson, AZ 85721, United States","We have constructed a bacterial artificial chromosome (BAC) library for a European honey bee strain using the cloning enzyme HindIII in order to develop resources for structural genomics research. The library contains 36,864 clones (ninety-six 384-well plates). A random sampling of 247 clones indicated an average insert size of 113 kb (range = 27 to 213 kb) and 2% empty vectors. Based on an estimated genome size of 270 Mb, this library provides approximately 15 haploid genome equivalents, allowing &gt;99% probability of recovering any specific sequence of interest. High-density colony filters were gridded robotically using a Genetix Q-BOT in a 4 × 4 double-spotted array on 22.5-cm2 filters. Screening of the library with four mapped honey bee genomic clones and two bee cDNA probes identified an average of 21 positive signals per probe, with a range of 7-38 positive signals per probe. An additional screening was performed with nine aphid gene fragments and one Drosophila gene fragment resulting in seven of the nine aphid probes and the Drosophila probe producing positive signals with a range of 1 to 122 positive signals per probe (average of 45). To evaluate the utility of the library for sequence tagged connector analysis, 1152 BAC clones were end sequenced in both forward and reverse directions, giving a total of 2061 successful reads of high quality. End sequences were queried against SWISS-PROT, insect genomic sequence GSS, insect EST, and insect transposable element databases. Results in spreadsheet format from these searches are publicly available at the Clemson University Genomics Institute (CUGI) website in a searchable format (http://www.genome.clemson.edu/projects/stc/bee/AM_Ba/).","BAC; BAC end sequencing; Bacterial artificial chromosome; Comparative genomics; Honey bee; STC",Article,,Scopus,2-s2.0-0346445383
"Duay P., De Jong D., Engels W.","Decreased flight performance and sperm production in drones of the honeybee (Apis mellifera) slightly infested by Varroa destructor mites during pupaldevelopment",2002,"Genetics and Molecular Research","1","3",,"227","232",,33,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346199287&partnerID=40&md5=02e74e6c885091e01162a5c2cad1198b","Zoologisches Institut, LS Entwicklungsphysiologie, Auf der Morgenstelle 28, D-72076 Tübingen, Germany; Department of Genetics, Medical Faculty, University of São Paulo, 14049-900 Ribeirão Preto, SP, Brazil","Duay, P., Zoologisches Institut, LS Entwicklungsphysiologie, Auf der Morgenstelle 28, D-72076 Tübingen, Germany, Department of Genetics, Medical Faculty, University of São Paulo, 14049-900 Ribeirão Preto, SP, Brazil; De Jong, D., Department of Genetics, Medical Faculty, University of São Paulo, 14049-900 Ribeirão Preto, SP, Brazil; Engels, W., Zoologisches Institut, LS Entwicklungsphysiologie, Auf der Morgenstelle 28, D-72076 Tübingen, Germany","We developed a bioassay to measure the flying power of drone, in order to determine which drones could reach a drone congregation area. A wind tunnel was used to test unparasitized drones and drones slightly parasitized by one or two mites during pupal development, and counts were made of the number of spermatozoa that they produced. Drones parasitized with one mite flew as long as control drones (x̄ = 6'55"" and 6'48"", respectively, P = 0.512); however, those that had been infested by two mites flew significantly less (x̄ = 2'16"", P<0.001). There was a significant positive correlation (P<0.01) between flight duration and the number of spermatozoa per drone in control group (r = 0.53), and in both the one mite (r = 0.43) and two mite (r = 0.54) groups. Drones infested during development with one or two mites produced 24 and 45% fewer sperm, respectively.","Apis mellifera; Drone flying power; Pupal infestation; Sperm production; Varroa destructor",Article,,Scopus,2-s2.0-0346199287
"Moretto G.","Mortality of Varroa destructor in broodless africanized and carnica honey bee (Apis mellifera L.) colonies",2002,"Interciencia","27","12",,"702","704",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041377689&partnerID=40&md5=7a4f99a24ed509e9f9070749e3678e45","Universidade Regional de Blumenau, Ctro. de Cie. Exatas e Naturais, Universidade Regional de Blumenau, 89.010-971 Blumenau-SC, Brazil; Department of Genetics, Ctro. de Cie. Exatas e Naturais, Universidade Regional de Blumenau, 89.010-971 Blumenau-SC, Brazil; Ctro. de Cie. Exatas e Naturais, Universidade Regional de Blumenau, 89.010-971 Blumenau-SC, Brazil","Moretto, G., Universidade Regional de Blumenau, Ctro. de Cie. Exatas e Naturais, Universidade Regional de Blumenau, 89.010-971 Blumenau-SC, Brazil, Department of Genetics, Ctro. de Cie. Exatas e Naturais, Universidade Regional de Blumenau, 89.010-971 Blumenau-SC, Brazil, Ctro. de Cie. Exatas e Naturais, Universidade Regional de Blumenau, 89.010-971 Blumenau-SC, Brazil","Varroa destructor infestation varies with climate conditions and race of Apis mellifera bees. Africanized bees show greater tolerance to varroa compared to bees of European races. Reproductive ability of female mites, hygienic behavior and grooming behavior are important factors in population dynamics of this parasite. The present study shows the mortality rate of the V. destructor mite in Africanized and Carnica bee colonies in Southern Brazil. The daily proportion of dead and live mite fallen on the bottom of the hive was determined when the total mite population was of adult bees. In Africanized bee colonies the daily proportion of dead mite was 6.30%, while in Carnica bee colonies was 2.11%. The daily proportion of live mite on the bottom of the hive was 2.45% and 0.82% in Africanized and Carnica bee colonies, respectively.","Africanized bees; Apis mellifera; Carnica bees; Varroa destructor; Varroa mortality",Article,,Scopus,2-s2.0-0041377689
"Han H.J., Yoon B.C., Oh Y.J., Park S.H., Lee J.H., Mar W.C.","The water-soluble fraction (<10 kD) of bee venom (Apis mellifera) produces inhibitory effect on apical transporters in renal proximal tubule cells",2002,"Kidney and Blood Pressure Research","25","6",,"375","383",,8,10.1159/000068696,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036994667&doi=10.1159%2f000068696&partnerID=40&md5=927fe5531d99ecab00e754ad77c2acac","Department of Veterinary Physiology, College of Veterinary Medicine, Chonnam National University, Kwangju, South Korea; College of Veterinary Medicine, Chonbuk National University, Jeonju, South Korea; College of Veterinary Medicine, School of Agricultural Biotechnology, Seoul National University, Suwon, South Korea; College of Pharmacy, Natural Products Research Institute, Seoul National University, Seoul, South Korea; Department of Veterinary Physiology, College of Veterinary Medicine, Chonnam National University, Kwangju, 500-757, South Korea","Han, H.J., Department of Veterinary Physiology, College of Veterinary Medicine, Chonnam National University, Kwangju, South Korea, Department of Veterinary Physiology, College of Veterinary Medicine, Chonnam National University, Kwangju, 500-757, South Korea; Yoon, B.C., Department of Veterinary Physiology, College of Veterinary Medicine, Chonnam National University, Kwangju, South Korea; Oh, Y.J., Department of Veterinary Physiology, College of Veterinary Medicine, Chonnam National University, Kwangju, South Korea; Park, S.H., College of Veterinary Medicine, Chonbuk National University, Jeonju, South Korea; Lee, J.H., College of Veterinary Medicine, School of Agricultural Biotechnology, Seoul National University, Suwon, South Korea; Mar, W.C., College of Pharmacy, Natural Products Research Institute, Seoul National University, Seoul, South Korea","Human envenomation caused by bee stings has been reported to cause acute renal failure and the pathogenetic mechanisms of these renal functional changes are still unclear. Bee venom is also a complex mixture of enzymes and proteins. Thus, this study was conducted to examine the effects of bee venom (BV, Apis mellifera) fractions on apical transporters' activity and its related signal pathways in primary cultured renal proximal tubule cells. Whole BV was extracted into three fractions according to solubility [a water-soluble fraction (BVA), an ethylacetate-soluble fraction (BVE), and a hexane-soluble fraction (BVH)]. BVA fraction was further separated to three portions according to molecular weights: BF1 (&gt;20 kD), BF2 (10-20 kD), and BF3 (&lt;10 kD). Each fraction was treated to the PTCs to the ratio of BV (1 μg/ml). BVA (930 ng/ml) significantly decreased cell viability, but BVH (27 ng/ml) and BVE (43 ng/ml) did not. BF3 (710 ng/ml) among BVA fractions predominantly decreased cell viability and inhibited α-methyl-D-glucopyranoside (α-MG), phosphate (Pi), and Na+ uptake. In addition, BF3 increased [3H] arachidonic acid release, lipid peroxide formation, and Ca2+ uptake. These effects of BF3 were blocked by mepacrine and AACOCF3 (phospholipase A2 inhibitors) or N-acetylcysteine, vitamin C, and vitamin E (antioxidants). In conclusion, BF3 (&lt;10 kD) among BV fractions is the most effective portion in BV-induced inhibition of α-MG, Pi, and Na+ uptake and these effects of BF3 are associated with phospholipase A2-oxidative stress-Ca2+ signal cascade in the primary cultured rabbit renal proximal tubule cells. Copyright © 2002 S. Karger AG, Basel.","Apis mellifera; Arachidonic acid; Bee venom; Ca2+; Kidney; Oxidative stress; Transporter",Article,,Scopus,2-s2.0-0036994667
"Ladurner E., Santi F., Maccagnani B., Maini S.","Pollination of caged hybrid seed red rape with Osmia cornuta and apis mellifera (Hymenoptera Megachilidae and Apidae)",2002,"Bulletin of Insectology","55","1-2",,"9","11",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744261492&partnerID=40&md5=279e66672559a4f922a80315c102a049","Dipartimento di Scienze e Tecnologie Agroambientali, Entomologia Università di Bologna, Italy","Ladurner, E., Dipartimento di Scienze e Tecnologie Agroambientali, Entomologia Università di Bologna, Italy; Santi, F., Dipartimento di Scienze e Tecnologie Agroambientali, Entomologia Università di Bologna, Italy; Maccagnani, B., Dipartimento di Scienze e Tecnologie Agroambientali, Entomologia Università di Bologna, Italy; Maini, S., Dipartimento di Scienze e Tecnologie Agroambientali, Entomologia Università di Bologna, Italy","Osmia cornuta was tested as a pollinator of caged hybrid red rape for seed production in comparison to A. mellifera. Nine screen cages were set up, each to enclose ten plants of red rape. Four cages were provided with 40 O. cornuta (10 females and 30 males). In each of other four cages a small nucleus (ca. 400 workers) of A. mellifera was introduced. To estimate seed yields without pollinators, no bees were introduced in the ninth cage. After bloom, seed yield, seed germination percentages after 5 and 7 days, and seed weight were measured. Osmia cornuta readily visited red rape flowers, and pollinated them successfully. The O. cornuta cages produced a 1.5-fold increase in seed yield compared to A. mellifera cages. Seed quality was similar in O. cornuta and A. mellifera cages. The ""no pollinator"" cage produced few seeds, and of low quality. Red rape seems to be a suitable plant on which to rear O. cornuta, since the O. counuta population released was increased by 1.2-fold.","Apis mellifera; Brassica rapa; Osmia cornuta; Pollination; Seed yield",Article,,Scopus,2-s2.0-9744261492
