Why do Varroa mites prefer nurse bees?	The Varroa mite, Varroa destructor, is an acarine ecto-parasite on Apis mellifera. It is the worst pest of Apis mellifera, yet its reproductive biology on the host is not well understood. In particular, the significance of the phoretic stage, when mites feed on adult bees for a few days, is not clear. In addition, it is not clear whether the preference of mites for nurses observed in the laboratory also happens inside real colonies. We show that Varroa mites prefer nurses over both newly emerged bees and forgers in a colony setting. We then determined the mechanism behind this preference. We show that this preference maximizes Varroa fitness, although due to the fact that each mite must find a second host (a pupa) to reproduce, the fitness benefit to the mites is not immediate but delayed. Our results suggest that the Varroa mite is a highly adapted parasite for honey bees.		human, human experiment, nurse, parasite, Varroa	2016-06-15
B+WSN: Smart beehive with preliminary decision tree analysis for agriculture and honey bee health monitoring	United Nations reports throughout recent years have stressed the growing constraint of food supply for Earth's growing human population. Honey bees are a vital part of the food chain as the most important pollinator for a wide range of crops. It is clear that protecting the population of honey bees worldwide, as well as enabling them to maximise their productivity, is an important concern. In this paper heterogeneous wireless sensor networks are utilised to collect data on a range of parameters from a beehive with the aim of accurately describing the internal conditions and colony activity. The parameters measured were: CO2, O2, pollutant gases, temperature, relative humidity, and acceleration. Weather data (sunshine, rain, and temperature) were also collected to provide an additional analysis dimension. Using a data set from a deployment at a field-deployed beehive, a biological analysis was undertaken to classify ten important hive states. This classification led to the development of a decision tree based classification algorithm which could describe the beehive using sensor network data with 95.38% accuracy. Finally, a correlation between meteorological conditions and beehive data was observed. This led to the development of an algorithm for predicting short term rain based on the parameters within the hive. Envisioned applications of this algorithm include agricultural and environmental monitoring for short term local forecasts (95.4% accuracy). Experimental results shows the low computational and energy overhead (5.35% increase in energy consumption) of the classification algorithm when deployed on one network node, which allows the node to be a self-sustainable intelligent device for smart bee hives. © 2016 Elsevier B.V..		Agriculture, Algorithms, Carbon dioxide, Classification (of information), Data mining, Decision trees, Energy utilization, Food products, Food supply, Rain, Sensor nodes, Trees (mathematics), Decision tree analysis, Honey bee, Internet of Things (IOT), Precision Agriculture, Precision apiculture, Wireless sensor networks, agrometeorology, algorithm, apiculture, biological analysis, data set, decision support system, environmental monitoring, health monitoring, honeybee, pollinator, pollutant source, precision agriculture, sensor, United Nations, World Wide Web, Apis mellifera, Apoidea	2016-06-01
Sucrose sensitivity of honey bees is differently affected by dietary protein and a neonicotinoid pesticide	Over a decade, declines in honey bee colonies have raised worldwide concerns. Several potentially contributing factors have been investigated, e.g. parasites, diseases, and pesticides. Neonicotinoid pesticides have received much attention due to their intensive use in crop protection, and their adverse effects on many levels of honey bee physiology led the European Union to ban these compounds. Due to their neuronal target, a receptor expressed throughout the insect nervous system, studies have focused mainly on neuroscience and behaviour. Through the Geometric Framework of nutrition, we investigated effects of the neonicotinoid thiamethoxam on survival, food consumption and sucrose sensitivity of honey bees (Apis mellifera). Thiamethoxam did not affect protein and carbohydrate intake, but decreased responses to high concentrations of sucrose. Interestingly, when bees ate fixed unbalanced diets, dietary protein facilitated better sucrose detection. Both thiamethoxam and dietary protein influenced survival. These findings suggest that, in the presence of a pesticide and unbalanced food, honey bee health may be severely challenged. Consequences for foraging efficiency and colony activity, cornerstones of honey bee health, are also discussed. ï¿½ 2016 Dï¿½mares et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.		neonicotinoid, pesticide, thiamethoxam, nitro derivative, oxazine derivative, pesticide, protein intake, sucrose, thiamethoxam, thiazole derivative, animal experiment, Article, calibration, carbohydrate intake, colony formation, controlled study, diet supplementation, dry mass, food intake, freeze drying, freezing, habituation, honeybee, LD50, nonhuman, protein diet, protein intake, sucrose sensitivity, sugar intake, survival analysis, survival rate, animal, bee, drug effects, drug resistance, metabolism, pharmacology, protein intake, Animals, Bees, Dietary Proteins, Drug Resistance, Nitro Compounds, Oxazines, Pesticides, Sucrose, Thiazoles	2016-06-01
Specific immune stimulation by endogenous bacteria in honey bees (Hymenoptera: Apidae)	Honey bees are highly important pollinators in agroecosystems, but they are currently under growing environmental pressures (e.g., from pesticides, poor nutrition, and parasites). Due to the multiplicity of environmental stress factors, their protection requires diverse and integrative approaches. Among those is the development of immunomodulatory tools, as immunosuppression is often observed in stressed bees. Toward this goal, the use of exogenous bacteria with immunomodulatory potential has recently been investigated, but knowledge about the potential of honey bee endogenous bacteria is limited. We therefore tested the influence of single strains of five species of endogenous lactic acid bacteria strains on the bee immune system during the larval stage. We measured the expression level of seven immune-related genes and the gene encoding the storage protein Hexamerin 70b. Two of the strains induced an immune stimulation, but this was limited to the antimicrobial peptide Apidaecin1. Upregulation of Apidaecin1 was associated to the downregulation of Hexamerin 70b. Those results suggest that the bee response to endogenous bacteria is specific both at the species and immune levels. As immune responses are costly, this specificity may be adaptive for saving energy and avoiding any negative side effects on the host development or survival. Further screening of bacteria immunomodulatory potential is needed, but associated immune cost needs to be taken into account for improving honey bee resilience to environmental stress. © The Authors 2016. Published by Oxford University Press on behalf of Entomological Society of America. All rights reserved.			2016-06-01
Sperm viability and gene expression in honey bee queens (Apis mellifera) following exposure to the neonicotinoid insecticide imidacloprid and the organophosphate acaricide coumaphos	Honey bee population declines are of global concern. Numerous factors appear to cause these declines including parasites, pathogens, malnutrition and pesticides. Residues of the organophosphate acaricide coumaphos and the neonicotinoid insecticide imidacloprid, widely used to combat Varroa mites and for crop protection in agriculture, respectively, have been detected in wax, pollen and comb samples. Here, we assess the effects of these compounds at different doses on the viability of sperm stored in the honey bee queens' spermatheca. Our results demonstrate that sub-lethal doses of imidacloprid (0.02 ppm) decreased sperm viability by 50%, 7 days after treatment. Sperm viability was a downward trend (about 33%) in queens treated with high doses of coumaphos (100 ppm), but there was not significant difference. The expression of genes that are involved in development, immune responses and detoxification in honey bee queens and workers exposed to chemicals was measured by qPCR analysis. The data showed that expression levels of specific genes were triggered 1 day after treatment. The expression levels of P450 subfamily genes, CYP306A1, CYP4G11 and CYP6AS14 were decreased in honey bee queens treated with low doses of coumaphos (5 ppm) and imidacloprid (0.02 ppm). Moreover, these two compounds suppressed the expression of genes related to antioxidation, immunity and development in queens at day 1. Up-regulation of antioxidants by these compounds in worker bees was observed at day 1. Coumaphos also caused a repression of CYP306A1 and CYP4G11 in workers. Antioxidants appear to prevent chemical damage to honey bees. We also found that DWV replication increased in workers treated with imidacloprid. This research clearly demonstrates that chemical exposure can affect sperm viability in queen honey bees. © 2016 Elsevier Ltd.		acaricide, antioxidant, chemical compound, detoxification, dose-response relationship, gene expression, honeybee, imidacloprid, immune response, malnutrition, pollen, population decline, sperm, sublethal effect, viability, wax, Acari, Apis mellifera, Apoidea, Deformed wing virus, Varroa, acaricide, coumafos, imidacloprid, imidazole derivative, insecticide, nitro derivative, animal, bee, cell survival, down regulation, female, gene expression regulation, genetics, male, physiology, randomization, spermatozoon, upregulation, Acaricides, Animals, Bees, Cell Survival, Coumaphos, Down-Regulation, Female, Gene Expression Regulation, Imidazoles, Insecticides, Male, Nitro Compounds, Random Allocation, Spermatozoa, Up-Regulation	2016-06-01
Selective Behaviour of Honeybees in Acquiring European Propolis Plant Precursors	Honey bees harvest resins from various plant species and use them in the hive as propolis. While there have been a number of studies concerning the chemical composition of this antimicrobial product, little is known about selective behavior and bee preference when different potential plant sources of resin are available. The main objective of this paper was to investigate some aspects of behavioral patterns of honeybees in the context of resin acquisition. Samples of propolis originating from temperate zones of Europe and the supposed botanical precursors of the product were analyzed. Taxonomical markers of bud resins of two white birch species, aspen, black poplar, horse-chestnut, black alder, and Scots pine were determined through GC-MS analysis. All these trees have been reported as sources of propolis, but comparisons of the chemical composition of their bud resins with the compositions of propolis samples from seven European countries have demonstrated the presence of taxonomical markers only from black poplar, aspen, and one species of birch. This suggests selective behavior during the collection of bud resins by honeybees. To examine the causes of such selectivity, the antimicrobial properties of bud resins were determined. Horse-chestnut resins had lower antimicrobial activity than the other resins which did not differ significantly. © 2016, The Author(s).		antimicrobial activity, biochemical composition, bud, coniferous tree, deciduous tree, gas chromatography, genetic marker, honeybee, mass spectrometry, resin, Europe, Aesculus, Aesculus hippocastanum, Alnus glutinosa, Apis mellifera, Apoidea, Betula pendula, Betula pubescens, Pinus sylvestris, Populus nigra, Populus tremula, antiinfective agent, propolis, animal, animal behavior, bee, biosynthesis, chemistry, drug effects, metabolism, plant, Animals, Anti-Infective Agents, Bees, Behavior, Animal, Plants, Propolis	2016-06-01
Honeybees produce millimolar concentrations of non-neuronal acetylcholine for breeding: Possible adverse effects of neonicotinoids	The worldwide use of neonicotinoid pesticides has caused concern on account of their involvement in the decline of bee populations, which are key pollinators in most ecosystems. Here we describe a role of non-neuronal acetylcholine (ACh) for breeding of Apis mellifera carnica and a so far unknown effect of neonicotinoids on non-target insects. Royal jelly or larval food are produced by the hypopharyngeal gland of nursing bees and contain unusually high ACh concentrations (4-8 mM). ACh is extremely well conserved in royal jelly or brood food because of the acidic pH of 4.0. This condition protects ACh from degradation thus ensuring delivery of intact ACh to larvae. Raising the pH to 5.5 and applying cholinesterase reduced the content of ACh substantially (by 75-90%) in larval food. When this manipulated brood was tested in artificial larval breeding experiments, the survival rate was higher with food supplemented by 100% with ACh (6 mM) than with food not supplemented with ACh. ACh release from the hypopharyngeal gland and its content in brood food declined by 80%, when honeybee colonies were exposed for 4 weeks to high concentrations of the neonicotinoids clothianidin (100 parts per billion [ppb]) or thiacloprid (8,800 ppb). Under these conditions the secretory cells of the gland were markedly damaged and brood development was severely compromised. Even field-relevant low concentrations of thiacloprid (200 ppb) or clothianidin (1 and 10 ppb) reduced ACh level in the brood food and showed initial adverse effects on brood development. Our findings indicate a hitherto unknown target of neonicotinoids to induce adverse effects on non-neuronal ACh which should be considered when re-assessing the environmental risks of these compounds. To our knowledge this is a new biological mechanism, and we suggest that, in addition to their well documented neurotoxic effects, neonicotinoids may contribute to honeybee colony losses consecutive to a reduction of the ACh content in the brood food. © 2016 Wessler et al.		acetylcholine, neonicotinoid, acetylcholine, anabasine, choline acetyltransferase, insecticide, nitro derivative, acidity, animal experiment, animal tissue, Apis mellifera, Article, breeding, concentration (parameters), controlled study, degradation kinetics, hypopharynx, larval stage, nonhuman, pH measurement, secretory cell, smooth muscle contraction, survival rate, analogs and derivatives, animal, bee, biosynthesis, drug effects, female, guinea pig, larva, male, metabolism, muscle contraction, nerve cell, physiology, pollination, reproduction, smooth muscle, Acetylcholine, Anabasine, Animals, Bees, Choline O-Acetyltransferase, Female, Guinea Pigs, Hypopharynx, Insecticides, Larva, Male, Muscle Contraction, Muscle, Smooth, Neurons, Nitro Compounds, Pollination, Reproduction	2016-06-01
Varroa destructor and viruses association in honey bee colonies under different climatic conditions	Honey bee colonies are threatened by multiple factors including complex interactions between environmental and diseases such as parasitic mites and viruses. We compared the presence of honeybee-pathogenic viruses and Varroa infestation rate in four apiaries: commercial colonies that received treatment against Varroa and non-treated colonies that did not received any treatment for the last 4 years located in temperate and subtropical climate. In addition, we evaluated the effect of climate and Varroa treatment on deformed wing virus (DWV) amounts. In both climates, DWV was the most prevalent virus, being the only present virus in subtropical colonies. Moreover, colonies from subtropical climate also showed reduced DWV amounts and lower Varroa infestation rates than colonies from temperate climate. Nevertheless, non-treated colonies in both climate conditions are able to survive several years. Environment appears as a key factor interacting with local bee populations and influencing colony survival beyond Varroa and virus presence. ï¿½ 2016 Society for Applied Microbiology and John Wiley & Sons Ltd.		animal, bee, classification, climate, growth, development and aging, isolation and purification, parasitology, Varroidae, virology, virus, Animals, Bees, Climate, Varroidae, Viruses	2016-06-01
Isoform-specific modulation of the chemical sensitivity of conserved TRPA1 channel in the major honeybee ectoparasitic mite, Tropilaelaps mercedesae	We identified and characterized the TRPA1 channel of Tropilaelaps mercedesae (TmTRPA1), one of two major species of honeybee ectoparasitic mite. Three TmTRPA1 isoforms with unique N-terminal sequences were activated by heat, and the isoform highly expressed in the mite's front legs, TmTRPA1b, was also activated by 27 plant-derived compounds including electrophiles. This suggests that the heat- and electrophile-dependent gating mechanisms as nocisensitive TRPA1 channel are well conserved between arthropod species. Intriguingly, one TmTRPA1 isoform, TmTRPA1a, was activated by only six compounds compared with two other isoforms, demonstrating that the N-terminal sequences are critical determinants for the chemical sensitivity. This is the first example of isoform-specific modulation of chemical sensitivity of TRPA1 channel in one species. α-terpineol showed repellent activity towards T. mercedesae in a laboratory assay and repressed T. mercedesae entry for reproduction into the brood cells with fifth instar larvae in hives. Thus, α-terpineol could be used as the potential compound to control two major honeybee ectoparasitic mites, T. mercedesae and Varroa destructor, in the apiculture industry. ©2016 The Authors.		alpha-terpineol, arthropod protein, cyclohexene derivative, isoprotein, terpene, transient receptor potential channel A1, alternative RNA splicing, animal, chemistry, drug effects, gene expression regulation, genetics, metabolism, mite, tissue distribution, Alternative Splicing, Animals, Arthropod Proteins, Cyclohexenes, Gene Expression Regulation, Mites, Monoterpenes, Protein Isoforms, Tissue Distribution, TRPA1 Cation Channel	2016-06-01
Rapid and Reliable Method for Analyzing Acaricides in Honey-Based Products	The acaricide use (Amitraz, Bromopropylate, Coumaphos, Tau-fluvalinate, and Fipronil) is a common worldwide practice in honey cultivation for protect the production. Nevertheless, their presence decreases honey safety and quality and affects the human health. Therefore, it is important to set up an easy, reliable, and rapid analytical method for determining such compounds in bee’s products (honey, molasses, and royal jelly). The method, based on solid-phase extraction using Carbograph 1 as sorbent and analysis by gas chromatography coupled with ion trap mass spectrometer detector (GC/IT-MS), allows very efficient recoveries ranging between 99 and 106 % with relative standard deviation (RSD) ≤5 % for the standard solution and between 98 and 102 % with RSD ≤9 % for samples spiked with 40 ng g−1 of each acaricide. The adsorption isotherms and breakthrough curves for Carbograph 1 sugary solution are reported. The instrumental analytical protocol has been found to yield a linear calibration in the range 10–300 ng g−1 with r2 ≥ 0.991. The limits of detection vary between 1.4 and 5.3 ng g−1 (RSD ≤4 %), whereas the limits of quantification range between 4.6 and 9.4 ng g−1 (RSD ≤6 %); the intra-day and inter-day repeatabilities as RSD were below 9 and 15 %, respectively. The analytical method developed has been applied to several commercial and home-made bee products. © 2015, Springer Science+Business Media New York.		Adsorbents, Gas chromatography, Mass spectrometers, Phase separation, Acaricide, Carbograph 1, GC/IT-MS, Honey, SPE, Food products	2016-06-01
Food for pollinators: Quantifying the nectar and pollen resources of urban flower meadows	Planted meadows are increasingly used to improve the biodiversity and aesthetic amenity value of urban areas. Although many 'pollinator-friendly' seed mixes are available, the floral resources these provide to flower-visiting insects, and how these change through time, are largely unknown. Such data are necessary to compare the resources provided by alternative meadow seed mixes to each other and to other flowering habitats. We used quantitative surveys of over 2 million flowers to estimate the nectar and pollen resources offered by two exemplar commercial seed mixes (one annual, one perennial) and associated weeds grown as 300m2 meadows across four UK cities, sampled at six time points between May and September 2013. Nectar sugar and pollen rewards per flower varied widely across 65 species surveyed, with native British weed species (including dandelion, Taraxacum agg.) contributing the top five nectar producers and two of the top ten pollen producers. Seed mix species yielding the highest rewards per flower included Leontodon hispidus, Centaurea cyanus and C. nigra for nectar, and Papaver rhoeas, Eschscholzia californica and Malva moschata for pollen. Perennial meadows produced up to 20x more nectar and up to 6x more pollen than annual meadows, which in turn produced far more than amenity grassland controls. Perennial meadows produced resources earlier in the year than annual meadows, but both seed mixes delivered very low resource levels early in the year and these were provided almost entirely by native weeds. Pollen volume per flower is well predicted statistically by floral morphology, and nectar sugar mass and pollen volume per unit area are correlated with flower counts, raising the possibility that resource levels can be estimated for species or habitats where they cannot be measured directly. Our approach does not incorporate resource quality information (for example, pollen protein or essential amino acid content), but can easily do so when suitable data exist. Our approach should inform the design of new seed mixes to ensure continuity in floral resource availability throughout the year, and to identify suitable species to fill resource gaps in established mixes. © 2016 Hicks et al.		Article, Centaurea cyanus, Centaurea nigra, controlled study, dandelion, Eschscholzia, flower morphology, Leontodon hispidus, Malva moschata, nectar, nonhuman, Papaver rhoeas, perennial plant, pollen, pollinator, United Kingdom, urban area, weed, animal, bee, biodiversity, ecosystem, flower, food, plant seed, pollination, season, nectar, Animals, Bees, Biodiversity, Ecosystem, Flowers, Food, Plant Nectar, Pollen, Pollination, Seasons, Seeds	2016-06-01
