The deutocerebrum of the cockroach Blaberus craniifer burm. Spatial organization of the sensory glomeruli	The objective of this work is to describe the glomerular organization of the deutocerebrum in Blaberus craniifer and to test the hypothesis that the glomeruli are identifiable. The problem is studied using the techniques of analytical geometry, i.e., by measuring the location of the glomeruli in cartesian coordinate systems. Computerized geometrical and statistical techniques are described for the three‐dimensional reconstruction and quantitative study of these brain structures. The invariance of the glomerular organization, and consequently the identifiability of the glomeruli, is based on three criteria: (1) the number of glomeruli per hemideutocerebrum (hDTC) is a constant (109); (2) the position of the glomeruli is symmetrical in the two sides of one individual and identical in the same side of two individuals, except for small local variations, (3) the dimensions of two positionally homologous glomeruli are statistically equal in the same and in different individuals, except for a macroglomerulus which is found only in the male. The causes of variability, from experimental and biological origin, are discussed and quantitatively evaluated. The interindividual biological variability, not ascribable to differences in size between brains, expressed as a 95% interval, is estimated to be 27 μm for the location of glomeruli and 12 μm for the diameter of glomeruli. Copyright © 1980 John Wiley & Sons, Inc.		animal experiment, arthropod, central nervous system, deuterocerebrum, histology, sensory nerve cell, Analysis of Variance, Animal, Cockroaches, Computers, Female, Ganglia, Male, Mathematics, Sensation, Species Specificity	1980-01-01
The effect of huddling on thermoregulation and oxygen consumption for the naked mole-rat	1. 1. Individual and huddled naked mole-rats became progressively hypothermic at lowered ambient temperatures; tb = 20.6 + 0.41 Ta. 2. 2. Oxygen consumption of individual mole-rats increased more than that of huddled mole-rats at Ta < 34°C. 3. 3. Huddling behaviour considerably reduced the mass-specific thermal conductance from 0.25 ml O2 g-1 °C-1 (individual) to 0.12 (group of four) at Ta = 20°C. 4. 4. Thus, huddled mole-rats are unlike other endotherms since they maintain the same Tb as individuals but at a reduced metabolic cost. 5. 5. Huddled mole-rats had lower rates of evaporative water loss than individuals, at high Ta because of their lower exposed surface area and VO2 (per individual). © 1980.			1980-01-01
Corpora Cardiaca‐Allata Complex of the Larvae of the Pink Bollworm, Pectinophora gossypiella. An Ultrastructural Study in Relation to Diapause	Raina, A. K., Borg, T. K. 1980. Corpora cardiaca‐allata complex of the larvae of the pink bollworm, Pectinophora gossypiella. An ultrastructural study in relation to diapause. (Department of Entomology, North Dakota State University of South Carolina, School of Medicine, Columbia, U.S.A.) — Acta zool. (Stockh.) 61(2): 65–77. The corpora cardiaca (CC) and corpora allata (CA) of the pink bollworm, Pectinophora gossypiella, were studied at the ultrastructural level during induction maintenance, and termination of larval diapause. The CC is composed of 5–6 intrinsic secretory (IS) cells, glial cells, and axons that carry electron dense (ED) and electron lucent (EL) granules from the brain. The IS cells produce ED granules with an average diameter of 110 ± 26 nm. During diapause, the axons with ED granules showed large accumulations of neurosecretory granules, but the axons with the EL granules contained lesser amounts. The CA is made up of approximately 25 large cells and axons that pass through the CC from the brain. Most of the axons take up a peripheral position. A characteristic feature of CA cells during diapause was the presence of stacks of convoluted tubules of the smooth endoplasmic reticulum (SER) that may be associated with juvenile hormone synthesis. The IS cells of the CC appeared to be inactive during diapause. 1980 The Royal Swedish Academy of Sciences			1980-01-01
Genetic distance: A simple quantitative measure of biological relatedness	We propose a new quantitative method of establishing the biological relatedness of two organisms, by means of comparison of the experimentally observed, differential-melting-curves of their DNAs which are assumed to depend on the detailed structure of the corresponding base pair sequences. In the light of recent experimental and theoretical results discussed in this paper, this assumption seems to be well justified. In the case of viruses and bacteria, analysis of available experimental data, demonstrates the straightforward applicability of the method in quantitative determinations of relatedness. In spite of certain difficulties arising in the application of the method to eucaryotes, we believe that it still could serve in obtaining at least first-order estimates of eucaryotic relatedness. © 1980, All rights reserved.		genetic distance, heredity, methodology, Eukaryota	1980-01-01
A hemolytic polypeptide from the venom of the red harvester ant, Pogonomyrmex barbatus	The venom of Pogonomyrmex barbatus was analyzed with a view to elucidating the chemical nature of the agent responsible for direct hemolysis. Gel filtration experiments indicated the mol. wt of the active substance, termed barbatolysin, to be ca. 3000. Barbatolysin was isolated in nearly pure form by isoelectric focusing and was found to be a strongly basic polypeptide containing 34 amino acid residues. The relative susceptibility of erythrocytes from different animals was compared using venoms of P. barbatus, P. badius and Apis mellifera. Barbatolysin was not lethal for mice, but mouse lethality was associated with a second venom component having an isoelectric pH of 8·0 and a mol. wt of 8000. The information obtained suggests that there is a functional resemblance between the venoms of P. barbatus and A. mellifera with respect to direct-acting hemolysins. © 1980.		ant venom, hemolysin, insect venom, animal experiment, barbatolysin, blood and hemopoietic system, drug analysis, drug toxicity, hemolysis, intoxication, mouse, Amino Acids, Animal, Ant Venoms, Arthropod Venoms, Cattle, Dogs, Erythrocytes, Goats, Guinea Pigs, Hemolysins, Hemolysis, Horses, Human, In Vitro, Isoelectric Focusing, Lethal Dose 50, Mice, Peptides, Rabbits, Rats, Sheep, Support, U.S. Gov't, P.H.S.	1980-01-01
The effects of honey bee (Apis mellifera L.) venom and two of its constituents, melittin and phospholipase A<inf>2</inf>, on the cardiovascular system of the rat	The cardiovascular effects of whole lyophilised honey bee venom and its major constituents, melittin and phosphatidate 2-acylhydrolase, EC 3.1.1.4 (phospholipase A2) have been studied in the anaesthetised rat and on the isolated perfused rat heart. Single bolus injections of whole venom (5-20 μg) irreversibly paralysed the isolated heart in 30-60 sec; perfusion of lower concentrations (1-8 μg/g tissue/min) caused paralysis over longer periods. In the whole animal, bee venom produced two differing responses on blood pressure depending on resting levels. In animals with a mean blood pressure of 95/67 mmHg, venom (0·5 mg/kg body weight) caused an increase of about 20 mmHg in 30 sec; in animals with a mean blood pressure of 138/112 mmHg, venom (0·7 mg/kg body weight) caused a marked fall. In both cases blood pressure returned to pre-venom levels after 5 min. Electrocardiographic changes were noted 15-20 min after envenomation, principally T wave elevation followed by ST-segment depression. The majority of these effects can be ascribed to the main constituents of honey bee venom; melittin (20-40 μg) irreversibly paralysed the isolated heart in 37-64 sec, phospholipase A2 was inactive. In the anaesthetised animal, melittin (200 μg/kg) slightly increased blood pressure but did not invariably affect ECG, whereas phospholipase A2 was profoundly hypotensive. The cardiotoxicity of melittin was less marked in the whole animal. © 1980.		hymenoptera venom, metformin, phospholipase a, animal experiment, arthropod, blood pressure, cardiotoxicity, cardiovascular system, drug comparison, drug toxicity, electrocardiography, heart, heart rate, honeybee, in vitro study, intoxication, rat, short survey, Anesthesia, Animal, Bee Venoms, Heart, Hemodynamics, Male, Melitten, Pentobarbital, Phospholipases, Phospholipases A, Rats, Urethane	1980-01-01
The toxicity of diflubenzuron to honey bee (Apis mellifera L.) colonies in apple orchards	The effect of diflubenzuron on honey bees in apple orchards in southeastern England was studied in 1976. In two experiments apple trees cv. Cox's Orange Pippin, in full flower and with honey bees foraging on the blossom, were sprayed with diflubenzuron at 0.11, 0.20 or 0.40 kg a.i.†/ha, HCH at 0.25 kg a.i./ha or malathion at 2.52 kg a.i./ha. Diflubenzuron did not reduce the numbers of adult or larval bees, whereas HCH or malathion killed many adult bees. In a third experiment in 1978 in eastern England diflubenzuron at 0.22 kg a.i./ha was sprayed on to bees returning to their hive. Neither adult nor larval bees were killed by this treatment. Small quantities (0.11 and 0.30 μg/g) of diflubenzuron were found in samples of honey from hives sited in plots treated with this insecticide. Copyright © 1980, Wiley Blackwell. All rights reserved			1980-01-01
Amino Acids in Pollens and Nectars of Citrus Cultivars and in Stored Pollen and Honey from Honeybee Colonies in Citrus Groves	Total amino acids and crude protein levels were analysed in pollens from flowers of nine citrus cultivars, and in stored pollen from three honeybee colonies in citrus groves. Free amino acids were determined in the nectars from six cultivars and in three citrus honeys. Although the protein levels of pollens from different cultivars ranged from 6·2% to 20·7%, the percentage of individual amino acids was relatively constant. Aspartic acid and glutamic acid were the predominant amino acids in the pollen from flowers. Stored pollen contained 17·1% to 22·6% protein, and higher amounts of proline than flower pollen. Nectars contained 7·5 to 79·1 mg/100 g of amino acids. Wide variation was observed both in the numbers and in the levels of amino acids in the nectars. In nectars in which they were found, proline and serine were the predominant amino acids. In contrast, the kinds and amounts of amino acids were fairly constant in the honey samples, proline being the major one. Unlike most plants, Citrus has low levels of proline in pollen and high levels in nectar. © 1980 International Bee Research Association.			1980-01-01
Foraging Of Bees On Oil-Seed Rape (Brassica Napus L.) In Relation To The Stage Of Flowering Of The Crop And Pest Control	Large populations of bees often continue to forage on oil-seed rape crops until flowering ceases. Applications of insecticide to crops in the late flowering stage could be hazardous to these bees. © 1980, Cambridge University Press. All rights reserved.			1980-01-01
Immunochemical and electrophoretic identification of the vitellogenin proteins of the queen bee (Apis mellifera)	1. 1. Vitellogenin was localized in laying queens' and workers' ovaries and in eggs using antisera against emerging and laying queens' ovaries in double-diffusion, immunoelectrophoresis and radioimmunoelectrophoresis analyses. 2. 2. Vitellogenin was preparatively separated by polyacrylamide gradient (5-11%) gel electrophoresis as band X, and the eluate was used to prepare antiserum against vitellogenin. 3. 3. Vitellogenins were detected in the haemolymph of both laying and non-laying females of the two castes, but not in that of drones. 4. 4. Vitellogenin was separated by isoelectric focusing into 9 components with pI values between 5.9 and 7.2. 5. 5. Vitellogenin (band X) was separated into 26 components by SDS-polyacrylamide gradient (5-15%) gel electrophoresis. 6. 6. Female-specific proteins were present in the haemolymph of the two castes, but only a part of them were vitellogenins. 7. 7. Vitellogenins were found in the fat body and ovaries of laying queens, but not in those of emerging ones. 8. 8. No vitellogenin was found in royal jelly nor in the mid-gut of laying queens. © 1980.			1980-01-01
