2016-06-15	Why do Varroa mites prefer nurse bees?	mites host mite nurses preference show adapted adult also 
2016-06-01	B+WSN: Smart beehive with preliminary decision tree analysis for agriculture and honey bee health monitoring	data algorithm sensor classification beehive parameters important decision short 
2016-06-01	Sucrose sensitivity of honey bees is differently affected by dietary protein and a neonicotinoid pesticide	protein sucrose food survival colony dietary effects thiamethoxam unbalanced 
2016-06-01	Specific immune stimulation by endogenous bacteria in honey bees (Hymenoptera: Apidae)	bacteria immune potential strains environmental endogenous immunomodulatory development associated 
2016-06-01	Sperm viability and gene expression in honey bee queens (Apis mellifera) following exposure to the neonicotinoid insecticide imidacloprid and the organophosphate acaricide coumaphos	expression queens doses viability treated coumaphos genes compounds chemical 
2016-06-01	Selective Behaviour of Honeybees in Acquiring European Propolis Plant Precursors	resins bud antimicrobial black species chemical behavior composition plant 
2016-06-01	Honeybees produce millimolar concentrations of non-neuronal acetylcholine for breeding: Possible adverse effects of neonicotinoids	brood food neonicotinoids larval content gland concentrations effects breeding 
2016-06-01	Varroa destructor and viruses association in honey bee colonies under different climatic conditions	colonies virus climate treatment subtropical received temperate infestation appears 
2016-06-01	Isoform-specific modulation of the chemical sensitivity of conserved TRPA1 channel in the major honeybee ectoparasitic mite, Tropilaelaps mercedesae	mercedesae channel activated two one chemical compounds ectoparasitic arthropod 
2016-06-01	Rapid and Reliable Method for Analyzing Acaricides in Honey-Based Products	analytical limits products standard range method solution protocol adsorption 
2016-06-01	Food for pollinators: Quantifying the nectar and pollen resources of urban flower meadows	mixes species meadows flower pollen per seed resource produced 
2016-05-31	Non-cultivated plants present a season-long route of pesticide exposure for honey bees	pollen foraging neonicotinoid plants pyrethroid pollution levels exposure growing 
2016-05-07	MelissAR: Towards augmented visual analytics of honey bee behaviour	relevant support system implementation reality based design effective outdoor 
2016-05-01	The status of honey bee health in Italy: Results from the nationwide bee monitoring network	colony mortality health hive samples losses second network paralysis 
2016-05-01	Weakness and collapse of bee colonies in Brazil: Are there cases of CCD?	collapse colonies pesticides studies associated recorded mainly pathogens causes 
2016-05-01	Chronic toxicity and physiological changes induced in the honey bee by the exposure to fipronil and Bacillus thuringiensis spores alone or combined	physiological enzyme effects spores bacterial midgut fipronil phosphate days 
2016-05-01	Acute exposure to selenium disrupts associative conditioning and long-term memory recall in honey bees (Apis mellifera)	selenium sublethal memory exposure learning conditioning form ability recall 
2016-05-01	A toolbox for quantitative gene expression in varroa destructor: RNA degradation in field samples and systematic analysis of reference gene stability	genes expression gene quality stable reference chain studies samples 
2016-05-01	Natural Varroa mite-surviving Apis mellifera honeybee populations	populations destructor mite wild survival explanations documented reported around 
2016-05-01	Disease dynamics of honeybees with Varroa destructor as parasite and virus vector	virus mites effects population parasitic adult reproductive brood dynamics 
